	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CO2_soilC_mg_g_d	CH4_ug_m2_h	CH4_CO2	CH4_soilC_ug_g_d	pH	Cl	SO4	Corg_LOI	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	C_g_m2	N_g_m2	P_g_m2	Fe	Mn	Cu	Zn	Salinity.y	CO2_mg_m2_h	CH4_ug_m2_h	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Fe_pw	Mn_pw	Co_pw	Cu_pw	Zn_pw	Ca_pw	Sr_pw	Mg_pw	Na_pw	K_pw	Al_pw	Si_pw	Br_pw	F_pw
0	1	Sandmound_TuleA_D1	Sandmound_TuleA_D1	2	Sandmound	Tule	SF_Ref	FW	Ref	d1	2	s002_Sandmound_TuleA_D1	0	0.593425419	0.265369101	85.43317474	1.481019832	0.006120335	4.473064042	0.302025938	0.018485	6.16	13.89	51.7	14.59	14.9	1.068	0.104	0.12	33.42	15.4	15.93125543	361.7762724	22.70858527	713.9114371	0.003590664	5807.602777	425.1212999	41.39757977	26590	783	65	90	0.59	1.481019832	4.473064042	266.143	3.436	9.863	0.997	NA	2.034666667	NA	615.38	272.04	0.43	3.21	NA	51564.87	254.07	25081.42	114758.69	NA	25.25	10496.08	1.438	0.403
1	2	Sandmound_TuleA_D2	Sandmound_TuleA_D2	85	Sandmound	Tule	SF_Ref	FW	Ref	d2	85	s085_Sandmound_TuleA_D2	1	0.593425419	0.274326708	84.53741406	1.481019832	0.005436118	4.473064042	0.302025938	0.016418486	5.91	10.72	84.6	15.89	14.98	0.965	0.09	0.63	48.13	14.2	19.20271099	455.3019547	23.71029565	1199.322022	0.013089549	6538.577082	397.0879097	37.03410556	26590	783	65	90	0.59	1.481019832	4.473064042	266.143	3.436	9.863	0.997	NA	2.034666667	NA	615.38	272.04	0.43	3.21	NA	51564.87	254.07	25081.42	114758.69	NA	25.25	10496.08	1.438	0.403
2	3	Sandmound_TuleB_D1	Sandmound_TuleB_D1	3	Sandmound	Tule	SF_Ref	FW	Ref	d1	3	s003_Sandmound_TuleB_D1	2	0.602620915	0.247967849	79.83099935	4.173351163	0.018158016	-0.282940133	-0.006779687	-0.001231057	6.27	14.12	39.8	14.83	15.15	1.088	0.11	0.7	28.59	17.8	15.89564728	347.6694999	21.87199387	589.4423113	0.024484085	5516.044791	404.6835288	40.91469501	28700	587	65	94	0.57	4.173351163	-0.282940133	217.5955	0.8755	11.77	0.9795	NA	2.175333333	1.542	624.42	1175.01	0.39	1.35	NA	59069.71	258.94	26016.8	96669.1	NA	20.63	12043.69	1.4965	0.4275
3	4	Sandmound_TuleB_D2	Sandmound_TuleB_D2	86	Sandmound	Tule	SF_Ref	FW	Ref	d2	86	s086_Sandmound_TuleB_D2	3	0.602620915	0.258430627	78.7847215	4.173351163	0.017364329	-0.282940133	-0.006779687	-0.001177247	5.85	13.3	40.7	14.88	13.59	0.923	0.09	0.8	35.32	13.9	18.80040443	426.362057	22.67834495	888.4231218	0.022650057	5768.171594	357.7972031	34.88813464	28700	587	65	94	0.57	4.173351163	-0.282940133	217.5955	0.8755	11.77	0.9795	NA	2.175333333	1.542	624.42	1175.01	0.39	1.35	NA	59069.71	258.94	26016.8	96669.1	NA	20.63	12043.69	1.4965	0.4275
4	5	Sandmound_TuleC_D1	Sandmound_TuleC_D1	4	Sandmound	Tule	SF_Ref	FW	Ref	d1	4	s004_Sandmound_Tule_C_D1	4	0.566468299	0.240423635	84.25657106	1.764463823	0.007385135	0.925883825	0.052473948	0.003875272	6.26	13.08	39.7	15.9	16.45	1.103	0.114	0.42	30	14.1	16.81076873	359.6751224	21.39551903	590.7027313	0.014	5734.103686	397.7809035	41.11244152	29390	639	67	95	0.6	1.764463823	0.925883825	553.602	17.314	17.8	0.796	NA	5.1186	2.006	3796.41	3033.7	2.07	4.77	NA	77352.15	508.07	51492.04	238099.57	371.64	21.33	11216.38	2.016	0.146
5	6	Sandmound_TuleC_D2	Sandmound_TuleC_D2	87	Sandmound	Tule	SF_Ref	FW	Ref	d2	86.55	s087_Sandmound_Tule_C_D2	5	0.566468299	0.269664347	81.33249983	1.764463823	0.007414374	0.925883825	0.052473948	0.003890615	5.69	13.71	65.1	14.12	13.27	0.941	0.085	0.715	21.19	10.9	17.49891151	428.3846474	24.48064539	570.6344538	0.033742331	5711.490869	380.6312257	34.38220424	29390	639	67	95	0.6	1.764463823	0.925883825	553.602	17.314	17.8	0.796	NA	5.1186	2.006	3796.41	3033.7	2.07	4.77	NA	77352.15	508.07	51492.04	238099.57	371.64	21.33	11216.38	2.016	0.146
6	7	Sandmound_CattailA_D1	NA	1	Sandmound	Cattail	SF_Ref	FW	Ref	d1	1	s001_Sandmound_CattailA_D1	6	0.584762462	0.214762294	88.6582803	2.710899281	0.012451581	-0.254840416	-0.009400586	-0.001170522	6.24	12.54	108.5	16.22	16.76	1.155	0.096	0.67	44.82	11.3	16.37701804	435.710217	26.60497876	1048.960959	0.014948684	5225.16661	372.0756742	30.92577032	29390	639	67	95	0.58	2.710899281	-0.254840416	204.5395	0.7205	16.21	NA	NA	10.5967	10.3675	424.33	577.28	0.19	1.74	NA	47456.79	241.82	27486.62	105517.92	2592.95	18.74	14048.85	1.3155	0.221
7	8	Sandmound_CattailA_D2	NA	84	Sandmound	Cattail	SF_Ref	FW	Ref	d2	84	s084_Sandmound_CattailA_D2	7	0.584762462	0.216964984	88.43801128	2.710899281	0.009017331	-0.254840416	-0.009400586	-0.000847682	5.64	11.46	50.3	22.17	20.65	1.19	0.083	0.22	33.55	9.7	21.72624604	688.8199672	31.70450919	900.6739229	0.006557377	7215.170546	387.2824966	27.01214052	29390	639	67	95	0.58	2.710899281	-0.254840416	204.5395	0.7205	16.21	NA	NA	10.5967	10.3675	424.33	577.28	0.19	1.74	NA	47456.79	241.82	27486.62	105517.92	2592.95	18.74	14048.85	1.3155	0.221
8	9	Sandmound_ThreeSqA_D1	NA	5	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	5	s005_Sandmound_ThreeSqA_D1	8	0.661564933	0.224949736	82.1328106	3.953506323	0.017509405	0.712509492	0.018022217	0.003155583	6.35	13.62	75.7	16.06	17.01	1.099	0.096	0.6	73.76	17.2	17.0417351	431.4122124	25.3150404	1714.678762	0.00813449	5419.039141	370.8296399	32.39276199	26270	630	75	97	0.66	3.953506323	0.712509492	316.694	10.555	10.19	1.014	0.051	2.843	0.752	320.11	124.17	0.24	3.16	NA	49568.66	228.64	25688.29	144427.16	NA	21.39	8136.54	1.5215	0.399
9	9	Sandmound_ThreeSqA_D2	Sandmound_ThreeSqA_D2	88	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	88	s088_Sandmound_ThreeSqA_D2	9	0.661564933	0.251106682	79.51711599	3.953506323	0.014941238	0.712509492	0.018022217	0.002692742	6.15	15.32	68.9	16.86	17.79	1.016	0.089	0.52	85.49	7.2	19.35217684	488.5237596	25.24386603	2139.309214	0.006082583	6350.48799	382.6865835	33.52274206	26270	630	75	97	0.66	3.953506323	0.712509492	316.694	10.555	10.19	1.014	0.051	2.843	0.752	320.11	124.17	0.24	3.16	NA	49568.66	228.64	25688.29	144427.16	NA	21.39	8136.54	1.5215	0.399
