Alpha_Index	Index_EW_ d1_d2	Indx_Site_hyd_EW	Ind_site_EW	Sample	SPID	Add_Date	MG_plate	Annot_group	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Location	Site	Plant	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	pwSampNO	PW_LABEL	Salinity.y	DOC_mg_L	NO2_pw	NO3_pw	PO4_pw	SO4_pw	Cl_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
110	2	1	7	Sandmound_TuleA_D1	1072583	3_17_2017	2	c	3300014324	Ga0075352	Gp0116118	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d1	9/5/17	0.593425419	12.2	22.5	1134	9.052733722	0.019929985	1.481019832	4.473064042	0.000489175	0.222196617	171852	s002_Sandmound_TuleA_D1	38.000706	-121.624306	23.7	6.16	13.89	51.7	25.16	14.59	1.068	14.9	0.12	33.42	15.4	0.104	NA	NA	NA	NA	s002	W14	0.59	9.863	0.997	NA	NA	3.436	266.143	1.438	0.403	114758.69	25081.42	51564.87	NA	254.07	615.38	272.04	25.25	10496.08	0.43	3.21	NA
111	85	2	8	Sandmound_TuleA_D2	1048100	5_21_2015	1	b	3300005204	Ga0068997	Gp0101388	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d2	9/5/17	0.593425419	12.2	22.5	1134	9.052733722	0.019929985	1.481019832	4.473064042	0.000489175	0.222196617	171852	s085_Sandmound_TuleA_D2	38.000706	-121.624306	24.5	5.91	10.72	84.6	27.4	15.89	0.965	14.98	0.63	48.13	14.2	0.09	90	783	26590	65	s085	W14	0.59	9.863	0.997	NA	NA	3.436	266.143	1.438	0.403	114758.69	25081.42	51564.87	NA	254.07	615.38	272.04	25.25	10496.08	0.43	3.21	NA
112	3	3	9	Sandmound_TuleB_D1	1072584	3_17_2017	2	c	3300014321	Ga0075353	Gp0116119	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d1	9/5/17	0.602620915	11.4	22.3	1146	25.50960899	-0.001260655	4.173351163	-0.282940133	-3.09E-05	0.626125654	1298	s003_Sandmound_TuleB_D1	38.000706	-121.624306	23.7	6.27	14.12	39.8	25.56	14.83	1.088	15.15	0.7	28.59	17.8	0.11	NA	NA	NA	NA	s003	W15	0.57	11.77	0.9795	NA	1.542	0.8755	217.5955	1.4965	0.4275	96669.1	26016.8	59069.71	NA	258.94	624.42	1175.01	20.63	12043.69	0.39	1.35	NA
113	86	4	10	Sandmound_TuleB_D2	1048103	5_21_2015	1	b	3300005213	Ga0068998	Gp0101389	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d2	9/5/17	0.602620915	11.4	22.3	1146	25.50960899	-0.001260655	4.173351163	-0.282940133	-3.09E-05	0.626125654	1298	s086_Sandmound_TuleB_D2	38.000706	-121.624306	24.7	5.85	13.3	40.7	25.65	14.88	0.923	13.59	0.8	35.32	13.9	0.09	94	587	28700	65	s086	W15	0.57	11.77	0.9795	NA	1.542	0.8755	217.5955	1.4965	0.4275	96669.1	26016.8	59069.71	NA	258.94	624.42	1175.01	20.63	12043.69	0.39	1.35	NA
114	4	5	11	Sandmound_TuleC_D1	1072585	3_16_2017	2	c	3300014308	Ga0075354	Gp0116120	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d1	9/5/17	0.566468299	11.8	22	1073	10.78528512	0.004125327	1.764463823	0.925883825	0.000101255	0.264721569	115006	s004_Sandmound_Tule_C_D1	38.000706	-121.624306	22.2	6.26	13.08	39.7	27.41	15.9	1.103	16.45	0.42	30	14.1	0.114	NA	NA	NA	NA	s004	W16	0.6	17.8	0.796	NA	2.006	17.314	553.602	2.016	0.146	238099.57	51492.04	77352.15	371.64	508.07	3796.41	3033.7	21.33	11216.38	2.07	4.77	NA
115	NA	6	12	Sandmound_TuleC_D2	1048106	5_21_2015	1	b	3300005205	Ga0068999	Gp0101390	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d2	9/5/17	0.566468299	11.8	22	1073	10.78528512	0.004125327	1.764463823	0.925883825	0.000101255	0.264721569	115006	s087_Sandmound_Tule_C_D2	38.000706	-121.624306	24.9	5.69	13.71	65.1	24.35	14.12	0.941	13.27	NA	21.19	10.9	0.085	95	639	29390	67	s087	W16	0.6	17.8	0.796	NA	2.006	17.314	553.602	2.016	0.146	238099.57	51492.04	77352.15	371.64	508.07	3796.41	3033.7	21.33	11216.38	2.07	4.77	NA
104	5	7	1	Sandmound_ThreeSqA_D1_rd	1072582	3_16_2017	2	c	3300014318	Ga0075351	Gp0116117	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	9/5/17	0.661564933	11.4	22.4	1256	24.1658074	0.003174626	3.953506323	0.712509492	7.79E-05	0.59314245	136497	s005_Sandmound_ThreeSqA_D1	38.000637	-121.624207	21.5	6.35	13.62	75.7	27.69	16.06	1.099	17.01	0.6	73.76	17.2	0.096	NA	NA	NA	NA	s005	W11	0.66	10.19	1.014	0.051	0.752	10.555	316.694	1.5215	0.399	144427.16	25688.29	49568.66	NA	228.64	320.11	124.17	21.39	8136.54	0.24	3.16	NA
105	88	8	2	Sandmound_ThreeSqA_D2	1048091	3_21_2015	1	b	3300004062	Ga0055500	Gp0101385	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	9/5/17	0.661564933	11.4	22.4	1256	24.1658074	0.003174626	3.953506323	0.712509492	7.79E-05	0.59314245	136497	s088_Sandmound_ThreeSqA_D2	38.000637	-121.624207	24	6.15	15.32	68.9	29.07	16.86	1.016	17.79	0.52	85.49	7.2	0.089	97	630	26270	75	s088	W11	0.66	10.19	1.014	0.051	0.752	10.555	316.694	1.5215	0.399	144427.16	25688.29	49568.66	NA	228.64	320.11	124.17	21.39	8136.54	0.24	3.16	NA
106	6	9	3	Sandmound_ThreeSqB_D1	1048085	3_20_2015	1	b	3300004058	Ga0055498	Gp0101383	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	9/5/17	0.584762462	11.8	22.2	1111	16.16384373	0.002948362	2.644391613	0.661727234	7.24E-05	0.396736667	154948	s006_Sandmound_ThreeSqB_D1	38.000637	-121.624207	22.2	6.25	16.2	82.1	26.68	15.47	1.069	15.41	0.36	42.9	12.7	0.096	NA	NA	NA	NA	s006	W12	0.58	11.7	0.9705	NA	NA	2.356	218.6595	1.289	0.407	103955.03	21267.82	48449.61	NA	211.07	2565.08	576.19	22.06	10336.97	0.6	1.42	NA
107	89	10	4	Sandmound_ThreeSqB_D2	1048094	5_21_2015	1	b	3300005206	Ga0068995	Gp0101386	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	9/5/17	0.584762462	11.8	22.2	1111	16.16384373	0.002948362	2.644391613	0.661727234	7.24E-05	0.396736667	154948	s089_Sandmound_ThreeSqB_D2	38.000637	-121.624207	23	5.94	18.52	58.8	28.18	16.35	1.021	16.23	0.68	29.48	8.6	0.095	88	581	25290	68	s089	W12	0.58	11.7	0.9705	NA	NA	2.356	218.6595	1.289	0.407	103955.03	21267.82	48449.61	NA	211.07	2565.08	576.19	22.06	10336.97	0.6	1.42	NA
108	7	11	5	Sandmound_ThreeSqC_D1	1048088	3_19_2015	1	b	3300004047	Ga0055499	Gp0101384	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	9/5/17	0.631436206	11.2	22.2	1196	30.73797003	-0.001520827	5.028706753	-0.341332784	-3.73E-05	0.754454198	180819	s007_Sandmound_ThreeSqC_D1	38.000637	-121.624207	21.5	6.44	13.76	56.3	28.44	16.49	1.079	16.62	0.33	49.32	16.3	0.092	NA	NA	NA	NA	s007	W13	0.63	11.45	NA	0.0845	NA	15.828	418.5935	1.795	0.417	181577.27	33854.91	56285.76	NA	331.13	271.27	385.36	18.27	10055.29	1.23	3.45	NA
109	90	12	6	Sandmound_ThreeSqC_D2	1048097	5_21_2015	1	b	3300005218	Ga0068996	Gp0101387	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	9/5/17	0.631436206	11.2	22.2	1196	30.73797003	-0.001520827	5.028706753	-0.341332784	-3.73E-05	0.754454198	180819	s090_Sandmound_ThreeSqC_D2	38.000706	-121.624306	24.6	6.11	13.12	54.8	29.23	16.96	1.02	15.95	0.68	47.43	12.4	0.098	86	1164	25180	64	s090	W13	0.63	11.45	NA	0.0845	NA	15.828	418.5935	1.795	0.417	181577.27	33854.91	56285.76	NA	331.13	271.27	385.36	18.27	10055.29	1.23	3.45	NA
125	91	13	19	WestPond_TuleA_D2	1048127	3_22_2015	1	b	3300004072	Ga0055512	Gp0101397	WestPond	WestPond	Tule	SF_Rest	FW	West	d2	10/15/17	0.358055401	8.2	14	575	148.874059	1.257483677	24.35567428	282.2282567	0.030864557	3.654068852	138427	s091_WestPond_TuleA_D2	38.107059	-121.647591	9.8	5.78	9.41	42.6	65.73	38.12	1.533	34.88	2.14	67.11	8.5	0.119	48	136	13180	40	s091	W83	0.36	10.65	0.982	0.594	NA	7.9715	160.541	1.0485	0.427	67222.29	20835.52	45960.11	1141.02	206.84	80.48	0.9	26.53	10654.28	0.15	0.89	NA
