SampleID	HydA	DsrAB.red	DsrAB.ox	NxrA.other	NxrB.other	NOB.nxr	AmoA.Ic	amoA.AOB	amoA.AOA	p.amo.unk	emoA	pxmA	MOB.III	MOB.IIb	MOB.IIa	MOB.Ic	MOB.Ib	MOB.Ia	mcr.Ac	mcr.H2	pmoA_MOB	mcrA
Sandmound_TuleA_D1	777.2272418	708.613317	987.4098094	9.479930986	1782.076039	258.6932822	6.105267014	28.78324979	98.69608374	100.235123	38.9847455	138.1819278	2.350949784	0	85.90819278	0	32.73786789	19.76118607	6.685311257	33.38138229	140.7581965	40.06669355
Sandmound_TuleA_D2	831.6286539	1196.38876	1532.612698	428.8606442	1705.54464	186.4819448	5.024279832	15.43056796	49.94007191	88.60697612	17.8596145	68.19743683	2.545494348	0	28.26835146	2.480287912	6.016087017	8.772365878	4.561513145	16.47392178	48.08258661	21.03543493
Sandmound_TuleB_D1	809.8446893	659.8615	740.0780944	4.146469903	1368.827763	288.0573763	2.56127203	43.52333246	89.96270008	48.62394243	23.90885943	103.5531043	0	0	112.6540544	8.989518222	24.02066651	25.00350049	8.33062588	13.3527096	170.6677396	21.68333548
Sandmound_TuleB_D2	1013.431343	1639.999353	1377.963205	666.9269308	1719.022613	253.5605169	2.089637072	12.91188927	58.07763043	67.64408189	22.44574443	79.54310441	2.941038069	2.201489087	55.933542	0	34.45941788	22.35093523	4.732103775	13.94245114	117.8864223	18.67455491
Sandmound_TuleC_D1	455.3784639	538.0667947	645.3839244	7.97944495	1031.150915	177.748706	6.87966097	10.17544502	76.07001731	71.27263896	41.99252039	88.77968034	0	0	102.8079419	2.603278569	29.47845805	19.0970896	4.403482274	12.28552544	153.9867681	16.68900771
Sandmound_TuleC_D2	478.9969759	871.9104044	865.6129699	512.5470939	1053.874242	275.5249949	2.232451813	22.60925925	103.605242	46.09666051	29.24121959	88.60697612	2.622978339	0	54.39554889	0	7.440863735	9.024130525	10.84251785	20.19205529	73.48352149	31.03457314
Sandmound_ThreeSqA_D1_rd	290.9066828	279.0866888	667.353474	5.004854709	1345.806043	213.5432	2.390885943	43.54162451	154.3099969	70.54466359	50.00700098	70.23458351	2.465550101	0	39.76086679	2.503423432	8.989518222	6.551090866	11.50086256	18.01367688	60.27044941	29.51453945
Sandmound_ThreeSqA_D2	230.9858244	416.1491343	993.6598569	525.4155494	1356.646758	379.5519119	0	22.98600779	105.4470957	67.78350451	35.12289821	32.56937276	2.651436814	0	15.41042361	0	2.240856186	0	4.586377541	15.05238229	20.30271661	19.63875983
Sandmound_ThreeSqB_D1	300.516029	308.2037517	841.5953363	503.4312816	1186.205365	324.497428	2.470148258	16.05254226	34.59651308	54.50960317	13.64077829	39.59591053	0	0	35.26424676	0	5.206557138	6.802721088	6.069342235	9.487418497	47.27352498	15.55676073
Sandmound_ThreeSqB_D2	254.532851	251.5456494	1239.786878	454.0501271	1055.117763	347.5894085	0	15.62716269	118.0705761	62.29260754	36.0965221	41.90605501	3.05541297	0	81.45581913	0	2.355695955	4.960575824	8.236960891	1.757095591	91.82750388	9.994056482
Sandmound_ThreeSqC_D1	251.676389	228.3719113	992.4286546	484.017963	1137.610686	172.6674875	0	23.90885943	87.08324902	24.87881942	17.46957564	20.57552688	2.701330135	0	0	0	2.503423432	2.996506074	0	5.09708676	8.20125964	5.09708676
Sandmound_ThreeSqC_D2	571.1434547	1107.362229	1728.248086	689.1333135	1293.520617	305.5405641	0	22.44574443	56.42020094	65.06604203	31.99803089	47.69950317	5.010672733	0	76.46698979	2.201489087	11.1867084	2.240856186	5.576980455	6.114711997	97.1067162	11.69169245
WestPond_TuleA_D2	4765.30416	1217.23423	1276.823592	333.2037541	784.2037327	15.45622356	16.36893395	0	2.293220323	2.659814983	15.87301587	132.7190338	0	0	175.8679081	0	12.85099274	59.87540709	127.7694646	350.0522596	248.594308	477.8217241
WestPond_TuleB_D1	3844.702621	598.7263458	429.3376001	2.207359336	858.371423	9.558950045	0	0	0	11.78269181	14.88172747	143.7521713	0	0	139.017852	0	13.59888722	75.38227056	95.1911178	269.4213993	227.9990098	364.6125171
WestPond_TuleB_D2	6828.320147	1963.890507	604.00151	208.1283584	391.2197334	7.083189702	0	0	2.390885943	2.502427355	8.989518222	18.65911456	0	0	4.931100202	0	8.52018574	12.51711716	58.54444987	422.1915527	25.9684031	480.7360025
WestPond_TuleC_D1	2634.928874	451.4724616	540.123122	0	749.4930836	16.21490149	2.461386992	6.385981493	0	14.27759645	11.20428093	189.7759559	0	0	129.9204039	2.941038069	13.20893452	118.579109	55.1920684	137.8815873	264.6494855	193.0736557
WestPond_TuleC_D2	4212.082025	1979.763033	1761.09395	735.5487566	1182.764825	17.77086689	11.33786848	5.456311315	0	2.208031937	18.22294998	239.3833485	0	0	280.6583443	10.04959475	37.61519654	169.6331042	71.15563873	296.3569647	497.9562397	367.5126034
WestPond_CattailA_D1	2025.99319	316.7244591	445.7487677	2.707796287	1117.158619	66.22078008	4.960575824	51.13673964	0	35.84606267	18.84556764	179.6860502	4.791739042	6.285908251	256.6546894	5.245956679	17.81846043	27.19777444	21.0851471	124.3206283	317.9945283	145.4057754
WestPond_CattailA_D2	2655.794991	1153.33047	888.6379107	406.170806	596.304435	11.82547491	0	0	0	2.361063234	5.006846863	72.57039328	0	2.939360983	113.4558657	0	6.245160001	14.20030957	71.35921464	297.4694041	136.8406962	368.8286187
WestPond_CattailB_D1	2705.959149	318.8678672	900.1337474	4.246419737	1023.321345	32.33801542	2.240856186	9.845547966	0	13.51241791	6.71202504	157.053561	2.711085085	0	62.63340916	2.651436814	11.76415228	88.05956349	18.34413599	140.5246053	167.8196468	158.8687413
WestPond_CattailB_D2	9399.069154	2078.938446	1768.194016	487.3307184	697.9083277	25.75851677	2.603278569	0	0	6.664075082	7.710595644	70.65702198	0	0	60.71372949	0	30.14878425	86.985142	104.2708858	402.732262	177.8476557	507.0031478
WestPond_CattailC_D2	7333.930809	2300.888148	1103.554164	419.242749	1103.712708	5.415592574	4.71139191	0	3.008043508	0	5.828094524	136.2150381	0	0	132.0040733	6.110825939	15.73787004	86.54680782	99.51601237	572.4372857	240.3995771	671.9532981
