"OTU"	"Guild"	"Sandmound_TuleA_D1"	"Sandmound_TuleA_D2"	"Sandmound_TuleB_D1"	"Sandmound_TuleB_D2"	"Sandmound_TuleC_D1"	"Sandmound_TuleC_D2"	"Sandmound_ThreeSqA_D1_rd"	"Sandmound_ThreeSqA_D2"	"Sandmound_ThreeSqB_D1"	"Sandmound_ThreeSqB_D2"	"Sandmound_ThreeSqC_D1"	"Sandmound_ThreeSqC_D2"	"WestPond_TuleA_D2"	"WestPond_TuleB_D1"	"WestPond_TuleB_D2"	"WestPond_TuleC_D1"	"WestPond_TuleC_D2"	"WestPond_CattailA_D1"	"WestPond_CattailA_D2"	"WestPond_CattailB_D1"	"WestPond_CattailB_D2"	"WestPond_CattailC_D2"	"WestPond_TuleA_D1"	"MayberryNE_TuleA_D1"	"MayberryNE_TuleA_D2"	"MayberryNE_TuleB_D1"	"MayberryNE_TuleB_D2"	"MayberryNE_TuleC_D1"	"MayberryNE_TuleC_D2"	"MayberryNE_CattailA_D1"	"MayberryNE_CattailA_D2"	"MayberryNE_CattailB_D1"	"MayberryNE_CattailB_D2"	"MayberryNE_CattailC_D1"	"MayberryNE_CattailC_D2"	"MayberrySE_CattailA_D1"	"MayberrySE_CattailA_D2"	"MayberrySE_CattailB_D1"	"MayberrySE_TuleA_D1"	"MayberryNW_TuleA_D1"	"MayberryNW_TuleA_D2"	"MayberryNW_TuleB_D1"	"MayberryNW_TuleB_D2"	"MayberryNW_TuleC_D1"	"MayberryNW_TuleC_D2"	"MayberryNW_CattailA_D1"	"MayberryNW_CattailA_D2"	"MayberryNW_CattailB_D1"	"MayberryNW_CattailB_D2"	"MayberryNW_CattailC_D1"	"MayberryNW_CattailC_D2"	"Browns_TuleA_D1"	"Browns_TuleA_D2"	"Browns_TuleB_D1"	"Browns_TuleB_D2"	"Browns_TuleC_D1"	"Browns_TuleC_D2"	"Browns_ThreeSqA_D1"	"Browns_ThreeSqA_D2"	"Browns_ThreeSqB_D1"	"Browns_ThreeSqB_D2"	"Browns_ThreeSqC_D1"	"Browns_ThreeSqC_D2"	"RushSE_TuleA_D1"	"RushSE_TuleA_D2"	"RushSE_TuleB_D1"	"RushSE_TuleB_D2"	"RushSE_TuleC_D1"	"RushSE_TuleC_D2"	"RushSE_CattailNLA_D1"	"RushSE_CattailNLA_D2"	"RushSE_CattailNLB_D1"	"RushSE_CattailNLB_D2"	"RushSE_CattailNLC_D1"	"RushSE_CattailNLC_D2"	"RushMan_CattailNLA_D2"	"RushMan_CattailNLB_D2"	"RushMan_CattailNLC_D1"	"RushMan_CattailNLC_D2"	"RushMan_ThreeSqA_D1"	"RushMan_ThreeSqA_D2"	"RushMan_ThreeSqB_D1"	"RushMan_ThreeSqB_D2"	"RushMan_ThreeSqC_D2"	"RushOxbow_ThreeSqA_D1"	"RushOxbow_ThreeSqA_D2"	"RushOxbow_ThreeSqB_D1"	"RushOxbow_ThreeSqB_D2"	"RushOxbow_ThreeSqC_D1"	"RushOxbow_ThreeSqC_D2"	"Joice_CattailNLA_D1"	"Joice_CattailNLA_D2"	"Joice_CattailNLB_D1"	"Joice_CattailNLB_D2"	"Joice_CattailNLC_D1"	"Joice_CattailNLC_D2"	"Joice_ThreeSqA_D1"	"Joice_ThreeSqA_D1_rd"	"Joice_ThreeSqA_D2"	"Joice_ThreeSqA_D2_rd"	"Joice_ThreeSqB_D1"	"Joice_ThreeSqC_D1"	"Joice_ThreeSqC_D2"	"Goodyear_PhragA_D2"	"Goodyear_PhragC_D2"	"White_CordA_D2"	"White_CordB_D2"	"White_ThreeSqA_D1"	"White_ThreeSqA_D2"	"White_ThreeSqB_D1"	"White_ThreeSqB_D2"	"White_ThreeSqC_D1"	"White_ThreeSqC_D2"	"Tolay_CordA_D2"	"Tolay_CordB_D2"	"Tolay_CordC_D2"	"China_Galinas_CordA_D2"	"China_Galinas_CordB_D2"	"China_Galinas_CordC_D2"	"China_Galinas_PWA_D1"	"China_Galinas_PWA_D2"	"China_Galinas_PWB_D1"	"China_Galinas_PWB_D2"	"China_Galinas_PWC_D1"	"China_Bullhead_CordA_D2"	"China_Bullhead_CordB_D2"	"China_Bullhead_CordC_D2"	"China_Galinas_PWC_D2"	"Muzzi_CordA_D2"	"Muzzi_CordB_D2"	"Muzzi_CordC_D2"	"Muzzi_PWA_D1"	"Muzzi_PWA_D2"	"Muzzi_PWB_D1"	"Muzzi_PWB_D2"	"Muzzi_PWC_D1"	"Muzzi_PWC_D2"
"HydA"	1	"HydA"	777.227241814826	831.628653908655	809.844689260468	1013.43134340459	455.378463930694	478.99697591771	290.906682812382	230.985824399957	300.516028952573	254.532850984555	251.676389016942	571.143454674777	4765.3041602238	3844.70262125363	6828.32014697001	2634.92887422293	4212.08202475522	2025.99319024378	2655.79499126383	2705.95914893128	9399.06915441328	7333.93080860928	4069.19982817198	4611.65364442111	2224.91147442176	9010.30890647263	3876.29985182072	5062.96308294651	2626.03071705644	1197.11636498854	643.563186084325	1827.4223437242	490.651939501475	724.220060895687	470.474899604017	1911.13825218619	610.181840259859	897.618962131527	1904.9100027213	1609.92279458296	1879.71921030553	2633.77876258394	1490.90160605707	1722.44560235572	1510.88034407069	2759.71545281001	2224.27710993927	1826.59205716381	1486.17526740146	3266.30850216037	703.852788959172	73.3820406628233	904.331993020256	175.721832339407	271.505095171438	303.945434823224	909.128882533177	248.073822154146	761.077848356364	306.065106570867	920.279594223111	289.92077255979	553.033913466758	1485.87501528678	1976.18155050807	1536.43014218654	3511.46905190336	853.02742005166	2721.09576640605	2875.59018515666	2900.98480800061	2714.81577822227	2342.69093589187	1892.14491968959	1645.85106567771	6604.18488026887	3164.15534690629	1903.80637919053	4825.35903625081	1111.82331109687	1179.28588644424	1383.86052313998	1434.43189211866	1390.77071236659	892.275029672846	1116.79829751323	770.195875322031	655.102748323391	866.96687849838	1020.17123067727	830.450636435144	2882.90360650491	894.037409079589	2466.25271451488	920.461313552439	1048.17453853024	1432.52722909359	839.002267573696	1961.90773825026	1402.36484259354	1640.30672839479	3261.90804699439	2661.93642918896	1657.26631168122	1718.27841032399	1763.15620381674	1006.31765446393	1067.86327941949	1532.23640470414	1394.11322174158	1407.65837429458	1589.3932202543	1658.74547080137	688.397240381282	944.272202200154	875.270285929845	2062.81784098803	2491.55877071645	3018.74801398157	904.945595211082	493.55126419273	1166.75949707914	668.40157734391	2031.09843919932	1481.19509849947	1267.9407693912	1310.5406279574	518.308737856026	835.014206085844	617.077076118585	754.092276150948	695.674804560424	476.871721506915	962.701924520636	454.050127134036	587.904745264888	494.554495581439
"DsrAB.red"	2	"DsrAB.red"	708.613317043372	1196.38876012626	659.861500037842	1639.99935323969	538.066794696035	871.910404436453	279.086688810866	416.149134261176	308.203751656266	251.545649370026	228.3719112699	1107.36222856648	1217.2342303508	598.726345773536	1963.89050669773	451.472461617652	1979.76303252468	316.724459105007	1153.33046953307	318.867867229494	2078.93844647028	2300.88814797828	387.411108849389	430.398141420499	657.758170081757	575.76738997445	819.558016564528	477.037961213144	430.746760841411	237.156569236968	187.629870675412	286.794356084861	176.072371816278	215.428550911567	252.692143218132	460.701177066194	225.672504062105	165.986057171198	358.817737278659	348.815514448804	693.043933637144	896.337333020109	685.888197446941	229.507033089236	631.899706287732	533.994004087629	754.456584243818	302.700917734146	767.771792731963	1125.71798842432	320.465030366287	89.2316872875519	791.187838312657	86.5373798212138	267.953443652093	142.99763175852	1404.13793757753	242.47919159546	1411.89303253725	209.938445232563	2053.14339481178	519.425040170488	1345.1896367988	696.761621119782	2564.83482140452	799.976216923281	3898.6919243638	965.73292551299	3666.70615022177	1094.11658545389	2842.24148413208	860.412490513549	2579.07699588079	803.875047800754	2616.58345181805	6936.03652794594	3152.65296284819	805.895245828576	3519.50802251882	683.85963204766	1772.01223691469	708.605079941661	1683.26866664583	1401.05916247265	639.703716173562	1879.78282456513	450.314781728916	450.063008821235	277.790194964015	862.097187817148	733.962616035278	4125.00354850755	460.279367423543	3133.78684807256	590.308523013351	2163.47738536866	1750.10868152504	598.754070876862	2348.62886716937	843.653696429868	1745.1265104853	2860.63098374349	2288.49844972686	3226.31033356527	2650.59286101119	4306.94000376152	2866.22663554376	1745.52222027928	4585.07834925415	2288.79520433339	3425.609711315	2361.99699695998	3051.8037724643	3344.98924620324	4088.14255334751	3692.71829448821	3289.50664916272	5556.62611165519	4314.22836285615	1410.89327180271	1837.68612220613	2336.80298807425	2577.95560453778	2504.46782132032	3917.51794738326	4061.53747945293	4612.92384551713	2239.67248230784	3617.94294101354	2408.96284323856	2714.74181275929	854.704890706383	2113.34216144637	766.368634419948	1717.32556342847	1213.29372587603	1903.32319305564
"DsrAB.ox"	3	"DsrAB.ox"	987.409809415596	1532.61269848147	740.078094435958	1377.96320477298	645.38392440842	865.612969890972	667.353474044264	993.659856883319	841.595336330234	1239.78687761187	992.428654630169	1728.24808555547	1276.82359240496	429.337600120121	604.001510003775	540.123122041795	1761.09395012431	445.748767749432	888.637910694079	900.133747379431	1768.19401615134	1103.5541641177	517.47733738209	385.299891749078	253.883852416461	494.713703569589	308.049041407392	296.683816639512	100.179108102365	146.380938439911	94.4124491144668	177.192760410075	103.543854804966	107.990928761984	183.581167910012	532.687258499336	98.0512317685991	177.89901266048	194.381270531522	89.9099717256799	504.198720348051	444.543231829295	278.320874065555	137.591326242794	403.611258629846	370.663240090936	418.384900755986	248.175630268504	275.195769847881	755.759783771934	159.871382347047	205.71589130173	773.224607517356	180.98084590096	711.043603028689	322.041498512087	923.542131644476	740.302043233639	1982.84446463199	441.221079337065	1576.08022113618	1064.83320766139	1758.49169849765	612.926469752826	931.811900343507	642.934488359502	1027.02843544269	392.145102915022	1023.88711429463	386.517925796782	1278.53277342415	656.806653530534	1091.05464311538	476.210827080522	959.637447967302	965.599555363176	854.661562379846	559.545758918334	1308.21676214119	449.486557243787	1495.44772245837	256.89541886304	2201.86383533684	1172.66417298422	277.790194964015	889.37874439364	363.973264509298	386.514361083026	152.605993477324	748.299319727891	183.54130547474	4036.29368156729	185.991063465529	2238.81956936566	306.240474154482	1819.9888347315	971.006289167463	385.529782175673	1309.3785697079	624.813620936936	889.401591236312	1372.95467368817	2173.85217296125	1061.67720016987	1038.18643828526	1359.2076899499	760.663718439013	1072.51429402671	1662.45088213303	1363.19767225406	944.122607611645	1069.72673344355	977.081182919619	818.315484376773	704.021724098915	875.929572910849	2791.67618564647	566.42587641962	632.509553529715	959.907782509361	3163.83629383825	1875.16956320518	1770.3494451825	1911.8544988639	1025.13142527534	903.08506222234	1154.24321792494	1369.41667571741	1421.50636434884	1592.71394457711	2381.74072357239	1598.80420797699	1676.95708514368	1565.54540797197	2526.37393583606	2723.58706134176	2044.65110353833
"NxrA.other"	4	"NxrA.other"	9.47993098610242	428.860644249314	4.14646990284821	666.926930834797	7.97944494980929	512.547093946347	5.0048547090678	525.415549444744	503.431281630058	454.050127134036	484.017962969084	689.13331351512	333.20375409563	2.20735933602631	208.128358434875	0	735.548756579155	2.70779628706973	406.170806037243	4.24641973735894	487.330718430848	419.242748950044	10.1498627231067	4.94358137752895	10.2633577601248	0	0	5.75124154926945	2.74585718796765	2.34610710448153	2.60345478449903	0	0	2.57658247254007	0	2.31396850226075	0	2.39903079156021	5.2535770292598	18.3476138928132	861.493521682822	752.27083790221	1027.7636199683	0	1284.1140220394	5.52380899773248	1038.53694025913	5.0626502974307	870.830368616123	659.944564656569	892.872043925967	2.70399623603724	430.088357530446	0	422.085044582733	2.36605188751789	429.339521693755	496.045191614397	466.935020126509	392.135279791962	679.766330323951	667.193832163685	509.628416346387	5.57698045547199	589.705221102601	2.88457932737379	587.696208346187	2.50873038172842	483.858343354419	1.75709559127145	683.009625848346	4.07647466470996	528.802349570627	0	690.0648136825	308.854755535946	767.833953886856	2.70262235447054	405.400780791374	2.98988521830647	739.658598860241	2.81988810683992	558.026020948775	359.85080032202	2.15102334935846	538.65796041892	2.2043668507313	775.506651156534	0	392.7721778912	2.51213991614477	599.337655053006	4.17927414366673	435.711861452801	0	423.18681187314	577.97791899892	2.47014825829846	581.900269896457	5.00070009801372	491.720574993774	551.087442845139	589.576527634896	639.823207894501	775.336902344471	419.501133786848	404.286929626791	647.245311966247	562.45490276925	489.416370977609	461.716407186757	390.534055320651	411.670869140122	442.074150228105	435.164391119538	616.293435196887	816.752451358099	399.661463231145	501.462386502771	593.290200094926	723.495364924004	645.686462693392	1028.20750906239	658.301877023292	410.972706109441	535.541942671237	549.974334531055	605.097950230694	618.818082515759	657.292114870376	588.780072832724	581.993474618618	956.500563607288	412.376997895455	725.948464846604	530.748147564571	1032.92341726853
"NxrB.other"	5	"NxrB.other"	1782.07603879074	1705.54464020078	1368.82776293004	1719.02261285726	1031.15091456683	1053.87424245321	1345.80604337745	1356.64675837094	1186.20536458044	1055.11776262058	1137.61068644517	1293.52061663976	784.203732695285	858.371423001105	391.219733422375	749.493083643853	1182.76482473217	1117.158619261	596.304434982517	1023.32134514849	697.908327688487	1103.71270811788	647.641234711706	529.114222532789	1551.40931120172	354.262172776712	807.070983194699	520.600599558357	579.183304452648	1600.05771544738	1195.06477645066	1198.63568417107	1165.457442046	1475.40393680953	1226.71023633216	1853.10900317414	1437.72428784153	1568.29344172834	2150.74239818979	845.548877422609	2194.83318660636	1466.57128889797	2082.62755399559	1134.03366662448	2171.76598026826	651.945236600126	2280.85693463954	1081.5984944149	1686.92687383703	1562.31825221062	2099.31772174043	669.592684167564	926.933018631134	805.056950325005	1055.77918343876	827.841146227475	1581.06365222669	1221.81586548494	1072.66767108716	1070.78024745062	1449.69200187723	1413.44387041316	1101.08599954515	1264.40011239112	1088.68127254744	704.595332099852	1378.76196859685	990.58334352452	1094.84430122369	1024.28676145769	1467.47960378051	628.740038055318	996.837062940831	1183.7485912581	1245.15954100208	759.430845449843	1205.56454903199	1350.72640317632	610.137400336987	941.148246996053	1273.40582282021	721.637191248247	1185.94936569344	1800.28329732767	826.360913128809	976.842722216456	846.591151740787	1075.73425265924	637.339306909176	1002.13728134144	636.248766570374	1042.42627105474	608.840817586241	968.298117252997	774.89231920885	1032.64457023983	1462.38976199447	971.223414123116	1293.45870858676	711.885207418455	652.267552765984	911.56462585034	1071.48437790659	1800.9001504246	1364.68141747599	1023.08847762873	645.460691679446	1169.09874253041	1038.12653957074	984.386043821885	685.772455648201	1084.90365089959	790.334582311476	1159.01824337032	1361.83947603544	1530.06420024481	2155.78090442803	881.851939320547	1046.5683574385	944.305688763749	1227.6152447011	1323.10362307012	2398.49918114932	1366.87304828898	811.728982733222	1084.92794864146	856.978824870405	1316.8337203492	1473.66359799863	1241.87095917942	1312.93649747835	841.733390278187	1881.49304877784	715.490230499566	1637.79416226534	1298.75979700309	1767.56644079509
"NOB.nxr"	6	"NOB.nxr"	258.693282157819	186.481944776201	288.057376326387	253.560516861774	177.74870598942	275.524994908777	213.543199996683	379.551911857202	324.497427958911	347.589408538328	172.667487462839	305.540564079281	15.4562235588176	9.55895004492707	7.0831897019866	16.2149014944734	17.7708668851002	66.2207800807894	11.8254749110724	32.3380154159939	25.7585167673634	5.41559257413946	9.96738174324523	12.7392592120768	42.1475215940193	NA	20.2997254462133	32.1332789539382	41.0534310404992	151.193521659984	165.404775771695	135.154176407832	137.292859398383	180.650247045078	132.776194009451	104.120119911671	155.390642658028	175.207608132725	83.1730064196428	62.4771495610402	250.098163529185	86.3651084961676	244.291331860581	190.815184485258	273.852245303149	38.2510595543497	282.845028928605	64.2814936052276	230.715521690295	140.857129442178	358.211939287242	131.628907733198	252.222210422353	129.989080917203	264.245620476532	135.199811801862	155.990595995499	200.706578386182	258.249402277593	170.355735901288	167.33232640372	311.722388172981	207.015526164462	68.7956631213968	69.7974357029057	65.8956871272775	68.9889995927424	103.174138426232	105.655518780883	77.8836418390924	69.8029979261755	67.7357203066672	54.5526563585865	59.7412501032294	53.519410980654	4.07647466470996	7.44792041648771	14.5633188832847	5.82333176103376	77.2136888839864	210.144029484824	48.6472023804698	142.153520537235	116.605523513952	71.0703991787421	98.6960837393972	65.1392242352655	189.152343759011	70.9837705288291	172.699498760264	33.0655027609695	35.6099992878	34.4317047137004	38.6666910877347	85.4127571489222	94.7670651152188	71.0476604423344	38.9847454984085	62.5086507507735	43.0359469701498	58.9200791212491	51.8731134242677	73.1030489819669	32.5045506370892	35.122898213841	21.8252452611936	12.0321740333652	41.4902421501554	46.7663528398252	54.421768707483	34.7240307654913	62.926627552274	44.8171237266335	49.4622928115669	61.2480948308964	32.5445046100542	17.8987334408749	28.272184026216	25.2550762703303	17.0403714800983	39.6268035699347	7.05284935113786	28.0004378250278	NA	5.88207613759353	2.51239868752293	2.62297833944487	24.6555010121083	53.0287362721859	65.8687950879062	64.1636723619564	21.6106410796676	55.1174000621323	NA	35.6201467550046	23.5148878633785	57.74150383981
"AmoA.Ic"	7	"AmoA.Ic"	6.10526701385285	5.02427983228954	2.56127203014105	2.08963707183336	6.87966097030738	2.23245181252763	2.3908859427861	0	2.47014825829846	0	0	0	16.3689339458952	0	0	2.46138699156975	11.3378684807256	4.96057582364161	0	2.24085618633167	2.60327856902984	4.71139191006895	0	2.23734168010936	2.57019854783782	0	5.68012382669942	2.20148908721859	2.35094978371262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07323495142411	0	0	2.94567295371464	0	0	2.20803193697394	2.38973751123177	2.36106323399553	5.40496716482447	2.22135836063753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87562077463472	0	0	0	0	0	0	0	2.31396850226075	0	0	0	0	0	0	0	0	3.03573054855651	0	0	0	0	0	0	2.70399623603724	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88457932737379	0	2.50873038172842	2.37185462428637	0	0	0	0	0	0	NA	0	0	2.63247260254139	0	0	0	0	2.30673589950013	0	2.05594641381267	2.2043668507313	3.95666658753334	2.15198154460627	0	0	0	0
"amoA.AOB"	8	"amoA.AOB"	28.7832497933774	15.4305679551191	43.5233324628667	12.9118892676376	10.1754450230881	22.6092592453029	43.5416245123978	22.986007790167	16.0525422640506	15.6271626876934	23.908859427861	22.4457444271425	0	0	0	6.38598149342563	5.45631131529841	51.1367396418022	0	9.845547966279	0	0	2.99650607391781	2.24085618633167	2.60327856902984	4.71139191006895	12.5171171577132	2.23734168010936	2.57019854783782	0	0	4.40297817443719	2.35094978371262	0	3.12258000049961	2.94103806879676	2.51239868752293	5.24595667888975	2.46555010121083	5.30287362721859	2.86386065599592	12.2216518784679	0	5.01067273292112	2.63972736895733	2.09530275029439	5.87872196584463	7.53150050084478	0	0	0	13.5554254234715	7.97944494980929	26.5110565834318	0	34.2662314855268	0	16.7281625786224	4.72212646799107	13.5124179120612	11.1067918031876	8.82943734410525	21.2858548399304	11.5492912199978	8.5861722557878	13.5389814353487	19.9347634864905	21.2320986867947	15.8053205977572	7.39840145205959	5.07493136155334	27.1896975764092	22.5793870722746	33.2625747651965	11.648223645894	0	0	4.69221420896307	0	45.5525524613562	21.189633089731	12.8829123627004	15.3213432878289	23.1396850226075	42.5166877999615	11.995153957801	23.6410966316691	51.3733188998771	28.5262755524113	30.6008476434797	5.60089166195258	2.4723651386626	15.1786527427826	0	33.3220408639294	10.1253005948614	0	0	8.34459854136418	8.11198870811172	8.91374834259992	0	5.55375058661491	2.36605188751789	0	2.71062946237375	2.30017251293847	34.3978315606984	6.06934223503528	32.9478435636388	13.3527095985953	30.673392505096	14.742630527565	17.3074759642428	36.0273537683486	10.0349215269137	2.37185462428637	3.5141911825429	5.09708676006229	NA	0	0	0	0	18.8590795691509	5.40524470894109	10.5298904101656	0	21.0578960529606	19.7392167478794	13.0278448470531	2.30673589950013	2.15102334935846	0	2.2043668507313	3.95666658753334	2.15198154460627
"amoA.AOA"	9	"amoA.AOA"	98.6960837393972	49.9400719137036	89.9627000805051	58.0776304326783	76.0700173110688	103.605241984371	154.3099969138	105.447095685707	34.5965130784995	118.070576058804	87.0832490247957	56.4202009395008	2.29322032343579	0	2.3908859427861	0	0	0	0	0	0	3.0080435083413	0	4.9227739831395	65.7596371882086	2.4802879118208	35.9580728870137	2.24085618633167	182.229499832089	146.053149212137	72.5992795147364	196.886067849624	115.658934652702	79.6506251602726	210.164581587879	55.0372271804649	218.638329885274	78.9103247796238	99.9225600159876	73.5259517199191	356.760613628255	73.4433935044564	283.538261639246	289.006612683413	243.428155759653	48.8866075138716	272.834343630804	120.256145590107	290.370010585307	138.28998151943	235.148878633785	120.504008013517	49.7696376770377	117.397606526349	105.734982522629	67.7771271173575	26.5981498326976	91.3158615651539	32.5315556089407	62.8214243901325	37.5365429285569	97.9792379605024	106.247845529799	2.70248358241224	0	8.82943734410525	7.09528494664346	9.23943297599826	20.0344019301715	10.8311851482789	4.98369087162262	0	7.90266029887861	4.93226763470639	7.61239704233	0	0	0	0	60.3880362673292	79.629858451062	16.4227497313707	52.0690956899806	28.1991991427443	63.5688992691931	38.6487370881011	56.9078464976504	60.1631810587794	37.5147245293778	91.163170079288	31.5214621755588	0	17.1157653314468	17.8504944586965	39.2062416336681	54.3920330505772	60.7146109711302	5.52380899773248	44.4293878185726	12.6566257435768	29.2046769962724	31.997312225773	22.2522627769711	21.6319698882979	15.5990595995499	0	0	104.106283050787	52.8417872853853	168.059026667173	27.6020701552616	105.486683452808	63.7280934678704	68.6413407575807	77.8908059918059	36.250372960568	4.91421017585501	0	0	NA	4.74370924857274	0	12.7427169001557	0	2.48264013882924	2.42721981388078	37.8516564467194	3.67684232780888	64.6597013799458	70.2681812162341	147.418465742318	23.9190817464518	18.4256590463405	5.63977621367984	10.8565373725443	32.2943025930018	36.5673969390938
"p.amo.unk"	10	"p.amo.unk"	100.235122959857	88.6069761188922	48.6239424292522	67.6440818944351	71.272638961848	46.0966605064766	70.5446635901355	67.7835045076031	54.5096031700889	62.2926075445931	24.8788194170893	65.0660420326631	2.65981498326976	11.7826918148586	2.5024273545339	14.2775964523028	2.20803193697394	35.8460626684765	2.36106323399553	13.5124179120612	6.66407508191259	0	0	6.9295747319987	0	5.41559257413946	9.96738174324523	0	2.6342200996262	2.4661338173532	0	7.41537206629343	4.10534310404992	6.04774086639936	2.3296447291788	0	0	4.69221420896307	2.60345478449903	13.0150149889589	0	5.15316494508015	6.56628998049812	2.31396850226075	2.50098163529185	0	18.3875196024093	11.0085683356879	2.85262755524113	5.10014127391329	11.2017833239052	51.9196679119146	30.3573054855651	52.4761854784585	38.875714341251	53.1578281230224	2.65497063602477	35.9969762539947	30.5968613183353	40.5599435405586	28.9696821134497	41.0536183062646	27.7687529330745	2.36605188751789	15.4121879582374	35.2381830108588	16.1012075905693	34.3978315606984	36.4160534102117	5.49130726060646	8.90180639906353	8.36547068320799	27.0281559672026	8.65373798212138	15.7619672736525	0	0	1.75709559127145	0	44.8412213118095	47.1701626377555	12.1360990694039	49.4983199687869	25.7378962946621	37.7181591383017	16.2157341268233	21.0597808203311	59.7977043661294	15.7934220397205	47.9380978162786	6.51392242352655	4.61347179900026	4.30204669871691	0	24.2480353580443	43.5233324628667	10.7599077230314	4.07017800923523	17.5849794130134	17.9289042109873	6.26891121550009	6.87966097030738	6.69735543758288	0	2.80571805339281	0	11.6964878371147	12.5017502450343	12.7719629868513	19.0970896035444	15.0402175417065	15.2858786868993	17.2297089409882	15.8730158730159	24.802879118208	2.99650607391781	0	2.60327856902984	0	NA	8.94936672043745	2.57019854783782	0	2.84006191334971	2.20148908721859	0	5.0909886954596	6.24516000099923	2.94103806879676	2.51239868752293	7.86893501833462	2.46555010121083	0	2.86386065599592	3.05541296961697	10.8053205398338	7.51600909938168
