"TS_tax"	"Sandmound_TuleA_D1"	"Sandmound_TuleA_D2"	"Sandmound_TuleB_D1"	"Sandmound_TuleB_D2"	"Sandmound_TuleC_D1"	"Sandmound_TuleC_D2"	"Sandmound_ThreeSqA_D1_rd"	"Sandmound_ThreeSqA_D2"	"Sandmound_ThreeSqB_D1"	"Sandmound_ThreeSqB_D2"	"Sandmound_ThreeSqC_D1"	"Sandmound_ThreeSqC_D2"	"WestPond_TuleA_D2"	"WestPond_TuleB_D1"	"WestPond_TuleB_D2"	"WestPond_TuleC_D1"	"WestPond_TuleC_D2"	"WestPond_CattailA_D1"	"WestPond_CattailA_D2"	"WestPond_CattailB_D1"	"WestPond_CattailB_D2"	"WestPond_CattailC_D2"	"WestPond_TuleA_D1"	"MayberryNE_TuleA_D1"	"MayberryNE_TuleA_D2"	"MayberryNE_TuleB_D1"	"MayberryNE_TuleB_D2"	"MayberryNE_TuleC_D1"	"MayberryNE_TuleC_D2"	"MayberryNE_CattailA_D1"	"MayberryNE_CattailA_D2"	"MayberryNE_CattailB_D1"	"MayberryNE_CattailB_D2"	"MayberryNE_CattailC_D1"	"MayberryNE_CattailC_D2"	"MayberrySE_CattailA_D1"	"MayberrySE_CattailA_D2"	"MayberrySE_CattailB_D1"	"MayberrySE_TuleA_D1"	"MayberryNW_TuleA_D1"	"MayberryNW_TuleA_D2"	"MayberryNW_TuleB_D1"	"MayberryNW_TuleB_D2"	"MayberryNW_TuleC_D1"	"MayberryNW_TuleC_D2"	"MayberryNW_CattailA_D1"	"MayberryNW_CattailA_D2"	"MayberryNW_CattailB_D1"	"MayberryNW_CattailB_D2"	"MayberryNW_CattailC_D1"	"MayberryNW_CattailC_D2"	"Browns_TuleA_D1"	"Browns_TuleA_D2"	"Browns_TuleB_D1"	"Browns_TuleB_D2"	"Browns_TuleC_D1"	"Browns_TuleC_D2"	"Browns_ThreeSqA_D1"	"Browns_ThreeSqA_D2"	"Browns_ThreeSqB_D1"	"Browns_ThreeSqB_D2"	"Browns_ThreeSqC_D1"	"Browns_ThreeSqC_D2"	"RushSE_TuleA_D1"	"RushSE_TuleA_D2"	"RushSE_TuleB_D1"	"RushSE_TuleB_D2"	"RushSE_TuleC_D1"	"RushSE_TuleC_D2"	"RushSE_CattailNLA_D1"	"RushSE_CattailNLA_D2"	"RushSE_CattailNLB_D1"	"RushSE_CattailNLB_D2"	"RushSE_CattailNLC_D1"	"RushSE_CattailNLC_D2"	"RushMan_CattailNLA_D2"	"RushMan_CattailNLB_D2"	"RushMan_CattailNLC_D1"	"RushMan_CattailNLC_D2"	"RushMan_ThreeSqA_D1"	"RushMan_ThreeSqA_D2"	"RushMan_ThreeSqB_D1"	"RushMan_ThreeSqB_D2"	"RushMan_ThreeSqC_D2"	"RushOxbow_ThreeSqA_D1"	"RushOxbow_ThreeSqA_D2"	"RushOxbow_ThreeSqB_D1"	"RushOxbow_ThreeSqB_D2"	"RushOxbow_ThreeSqC_D1"	"RushOxbow_ThreeSqC_D2"	"Joice_CattailNLA_D1"	"Joice_CattailNLA_D2"	"Joice_CattailNLB_D1"	"Joice_CattailNLB_D2"	"Joice_CattailNLC_D1"	"Joice_CattailNLC_D2"	"Joice_ThreeSqA_D1"	"Joice_ThreeSqA_D1_rd"	"Joice_ThreeSqA_D2"	"Joice_ThreeSqA_D2_rd"	"Joice_ThreeSqB_D1"	"Joice_ThreeSqC_D1"	"Joice_ThreeSqC_D2"	"Goodyear_PhragA_D2"	"Goodyear_PhragC_D2"	"White_CordA_D2"	"White_CordB_D2"	"White_ThreeSqA_D1"	"White_ThreeSqA_D2"	"White_ThreeSqB_D1"	"White_ThreeSqB_D2"	"White_ThreeSqC_D1"	"White_ThreeSqC_D2"	"Tolay_CordA_D2"	"Tolay_CordB_D2"	"Tolay_CordC_D2"	"China_Galinas_CordA_D2"	"China_Galinas_CordB_D2"	"China_Galinas_CordC_D2"	"China_Galinas_PWA_D1"	"China_Galinas_PWA_D2"	"China_Galinas_PWB_D1"	"China_Galinas_PWB_D2"	"China_Galinas_PWC_D1"	"China_Bullhead_CordA_D2"	"China_Bullhead_CordB_D2"	"China_Bullhead_CordC_D2"	"China_Galinas_PWC_D2"	"Muzzi_CordA_D2"	"Muzzi_CordB_D2"	"Muzzi_CordC_D2"	"Muzzi_PWA_D1"	"Muzzi_PWA_D2"	"Muzzi_PWB_D1"	"Muzzi_PWB_D2"	"Muzzi_PWC_D1"	"Muzzi_PWC_D2"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"species"
"2"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" Nitrosopumilales"	" Nitrosopumilaceae"	" NitrosopumilaceaeOR"	" NitrosopumilaceaeOR"	" NitrosopumilaceaeOR"	""
"3"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae; Nitrosoarchaeum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	" Archaea"	" Thaumarchaeota"	" Nitrosopumilales"	" Nitrosopumilaceae"	" Nitrosoarchaeum"	" NitrosoarchaeumFA"	" NitrosoarchaeumFA"	""
"4"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae; Nitrosoarchaeum; Candidatus Nitrosoarchaeum limnia"	15	16	13	11	17	33	20	25	11	25	21	16	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	0	1	0	0	1	3	1	1	1	0	18	10	25	29	11	8	18	8	9	12	19	33	0	0	0	1	1	2	1	0	0	1	1	3	0	0	0	0	6	6	1	14	3	1	0	10	1	3	9	1	0	2	1	2	7	5	0	3	2	3	4	2	0	0	0	0	2	2	1	0	4	0	1	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	4	1	3	0	0	0	1	2	5	" Archaea"	" Thaumarchaeota"	" Nitrosopumilales"	" Nitrosopumilaceae"	" Nitrosoarchaeum"	" Candidatus Nitrosoarchaeum limnia"	" Candidatus Nitrosoarchaeum limniaGE"	""
"5"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae; Nitrosopumilus"	9	3	11	5	8	10	7	7	1	3	7	6	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	16	7	19	11	8	1	10	4	9	5	15	11	1	0	3	1	1	4	3	2	0	2	1	0	0	0	0	0	9	22	3	5	9	2	2	8	5	4	14	10	0	4	2	10	13	14	1	10	3	3	9	6	0	0	0	0	35	19	57	9	35	15	20	30	10	1	0	0	NA	0	0	3	0	0	0	6	2	9	19	45	5	5	0	2	10	10	" Archaea"	" Thaumarchaeota"	" Nitrosopumilales"	" Nitrosopumilaceae"	" Nitrosopumilus"	" NitrosopumilusFA"	" NitrosopumilusFA"	""
"6"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria"	4	0	7	3	2	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	2	7	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" NitrososphaeriaCL"	" NitrososphaeriaCL"	" NitrososphaeriaCL"	" NitrososphaeriaCL"	""
"7"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria; Candidatus Nitrosocaldales; Candidatus Nitrosocaldaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" Candidatus Nitrosocaldales"	" Candidatus Nitrosocaldaceae"	" Candidatus NitrosocaldaceaeFA"	" Candidatus NitrosocaldaceaeFA"	""
"8"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria; Candidatus Nitrosocaldales; Candidatus Nitrosocaldaceae; Candidatus Nitrosocaldus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	7	2	1	1	4	8	15	2	3	0	12	0	14	8	4	0	3	1	21	9	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" Candidatus Nitrosocaldales"	" Candidatus Nitrosocaldaceae"	" Candidatus Nitrosocaldus"	" Candidatus NitrosocaldusGE"	""
"9"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria; Nitrososphaerales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" Nitrososphaerales"	" NitrososphaeralesOR"	" NitrososphaeralesOR"	" NitrososphaeralesOR"	""
"10"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae"	0	0	5	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	14	16	4	20	6	12	13	6	17	6	0	4	23	1	32	16	20	6	11	7	19	11	14	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	2	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" Nitrososphaerales"	" Nitrososphaeraceae"	" NitrososphaeraceaeFA"	" NitrososphaeraceaeFA"	""
"11"	"amoA-AOA_Root; Archaea; Thaumarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; Candidatus Nitrosocosmicus"	4	1	1	0	2	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	9	8	5	16	4	8	8	2	12	6	10	10	44	3	11	27	19	3	26	11	17	11	20	0	0	0	1	0	0	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	" Archaea"	" Thaumarchaeota"	" Nitrososphaeria"	" Nitrososphaerales"	" Nitrososphaeraceae"	" Candidatus Nitrosocosmicus"	" Candidatus NitrosocosmicusGE"	""
