"Sample"	"P01015"	"RecA"	"RpoB"	"amoA-AOA"	"amoA-AOB"	"AmoA-Ic"	"emoA"	"MOB-Ia"	"MOB-Ib"	"MOB-Ic"	"MOB-IIa"	"MOB-IIb"	"MOB-III"	"pxmA"	"p-amo-unk"	"NOB-nxr"	"NxrA-other"	"NxrB-other"	"HydA"	"DsrAB-red"	"DsrAB-ox"	"Dsr-AsrC"	"Dsr-2221"	"DsrA-ox"	"DsrA-red"	"DsrB-ox"	"DsrB-red"	"Dsr-no3so3"	"Dsr-unk"	"mcr-Ac"	"mcr-Ac-unk"	"mcr-H2"	"mcr-H2-unk"	"mcr-unk"
"1047887"	16	1188	248	31	7	0	2	8	1	0	7	0	0	24	18	88	183	445	86	138	305	64	457	141	66	164	72	297	133	2	0	0	0	0
"1047890"	12	1053	197	22	5	0	4	12	2	0	2	0	1	24	15	72	171	384	122	103	240	92	372	142	52	98	51	243	119	0	0	1	0	0
"1047893"	21	1292	244	41	4	0	2	3	0	0	10	0	0	17	18	115	243	490	165	214	394	91	682	202	118	192	96	300	329	3	0	1	0	0
"1047896"	11	1041	223	13	2	0	2	24	4	2	65	0	0	25	11	93	203	482	338	554	681	70	656	339	297	342	257	340	323	4	3	7	1	0
"1047899"	12	1166	254	17	5	0	3	19	1	1	22	0	2	32	13	76	224	590	388	827	585	91	697	294	446	291	381	407	332	6	6	4	1	0
"1047902"	16	1132	253	45	9	0	4	7	1	0	7	0	0	12	10	90	229	489	217	462	668	84	644	354	254	314	208	300	329	5	0	1	0	0
"1047905"	12	1027	205	21	3	1	3	13	4	0	27	0	0	29	10	95	193	421	298	322	326	77	659	166	148	160	174	323	315	0	1	6	0	0
"1047908"	19	1224	249	51	0	1	3	1	1	0	9	0	1	9	14	95	152	459	122	119	279	79	462	143	80	136	39	268	130	NA	NA	NA	NA	NA
"1047911"	18	1023	224	10	0	1	0	3	0	0	28	0	1	8	1	70	195	521	370	592	372	94	580	208	314	164	278	297	296	12	4	6	1	0
"1047914"	50	1136	223	1	7	0	0	1	0	0	0	0	0	1	1	2	155	324	590	1445	359	75	783	184	718	175	727	659	378	5	0	1	0	2
"1047917"	69	1150	266	1	2	0	0	1	0	0	0	0	0	1	0	1	187	411	535	1527	409	70	771	245	782	164	745	622	384	6	1	1	0	0
"1047920"	55	1238	250	13	4	0	3	2	1	0	0	0	0	4	2	1	180	409	547	1566	483	89	779	230	811	253	755	622	369	3	0	1	0	1
