"filename","file_id","JGI Grouping ID","directory/path","Short Organism Name","Genome/Metagenome Name","md5 checksum","file size"
"8641.1.107191.AAGACT.anqdp.fastq.gz","54bb6b920d8785565d473b62","IMG_AP-1048041","RushMan_CattailN/Filtered_Raw_Data","RushMan_CattailN","RushMan_CattailNLB_D2","22a70a1daf750742dc095f678c7d6c39","5412831397"
"8550.1.104089.CAAAAG.anqdp.fastq.gz","5486797d0d87850ddcd6d0c8","IMG_AP-1047963","Joice_ThreeSqA_D/Filtered_Raw_Data","Joice_ThreeSqA_D","Joice_ThreeSqA_D1","3ca21c41af014ffa10579fdf63e78d01","5599941437"
"8641.1.107191.AAAGCA.anqdp.fastq.gz","54bb6f8d0d8785565d473b6d","IMG_AP-1048029","Muzzi_PWC_D1/Filtered_Raw_Data","Muzzi_PWC_D1","Muzzi_PWC_D1","293f81ee3cf9b9832ce0070a3d708cd0","6245058598"
"8641.1.107191.AAATGC.anqdp.fastq.gz","54bb6b740d8785565d473b5f","IMG_AP-1048032","Muzzi_PWB_D2/Filtered_Raw_Data","Muzzi_PWB_D2","Muzzi_PWB_D2","659677dc973c2e969b3c78e95a4db1ed","5926967005"
"8641.1.107191.AACAAA.anqdp.fastq.gz","54bb6b7f0d8785565d473b60","IMG_AP-1048035","Muzzi_PWC_D2/Filtered_Raw_Data","Muzzi_PWC_D2","Muzzi_PWC_D2","cb50919701b331f9c97742ed60efb116","6388025130"
"8641.1.107191.AAACAT.anqdp.fastq.gz","54bb6b690d8785565d473b5e","IMG_AP-1048026","Muzzi_PWB_D1/Filtered_Raw_Data","Muzzi_PWB_D1","Muzzi_PWB_D1","cd03feb7297f173d5f0e2fd622a212d7","5090969946"
"8641.1.107191.AAGCGA.anqdp.fastq.gz","54bb6b9a0d8785565d473b63","IMG_AP-1048044","RushMan_CattailN_2/Filtered_Raw_Data","RushMan_CattailN_2","RushMan_CattailNLC_D2","0b0c1ccf8070fb47752a207033989af1","5108798110"
"8642.1.107203.ACCCAG.anqdp.fastq.gz","54bb8a2e0d8785565d473b93","IMG_AP-1048059","RushOxbow_ThreeS_2/Filtered_Raw_Data","RushOxbow_ThreeS_2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - RushOxbow_ThreeSqB_D2","6192184f8c8e16c4ccbb0970f261386a","5464501920"
"8642.1.107203.ACCGGC.anqdp.fastq.gz","54bb85cb0d8785565d473b89","IMG_AP-1048062","RushOxbow_ThreeS_3/Filtered_Raw_Data","RushOxbow_ThreeS_3","RushOxbow_ThreeSqC_D2","e958919a159ddae26869793713dcc103","5885069948"
"8640.1.107179.TTCTCC.anqdp.fastq.gz","54bb6b600d8785565d473b5d","IMG_AP-1048161","White_ThreeSqC_D_2/Filtered_Raw_Data","White_ThreeSqC_D_2","White_ThreeSqC_D2","1535df35e7c2de56c646e5f8e484a1e4","5049115094"
"8641.1.107191.AAGGAC.anqdp.fastq.gz","54bb6ffa0d8785565d473b6e","IMG_AP-1048047","RushMan_ThreeSqA/Filtered_Raw_Data","RushMan_ThreeSqA","RushMan_ThreeSqA_D2","85b6cfe5bc403047e8f77ebaa0c5c155","6296722259"
"8641.1.107191.AATAGG.anqdp.fastq.gz","54bb70330d8785565d473b6f","IMG_AP-1048050","RushMan_ThreeSqB/Filtered_Raw_Data","RushMan_ThreeSqB","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - RushMan_ThreeSqB_D2","23f0d7b3c9b6ef071224d8f94127cdba","5831292418"
"8641.1.107191.ACAAAC.anqdp.fastq.gz","54bb6ba40d8785565d473b64","IMG_AP-1048053","RushMan_ThreeSqC/Filtered_Raw_Data","RushMan_ThreeSqC","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - RushMan_ThreeSqC_D2","5234822dfa8afc5ea908a1a5aee794b4","4494788058"
"8641.1.107191.ACATCT.anqdp.fastq.gz","54bb70650d8785565d473b70","IMG_AP-1048056","RushOxbow_ThreeS/Filtered_Raw_Data","RushOxbow_ThreeS","RushOxbow_ThreeSqA_D2","29eb69d99d24fd4a48f65041ee1edea3","5413536425"
