"CH4_mix"	"CH4_H2"	"CH4_ac"	"CH4_me"	"MOB_I"	"MOB_II"	"MOB_IIa"	"ANME"	"AOA"	"AOB"	"NOB"	"Anamx"	"SOxB"	"SRB_syn"	"SRB"	"FeOB"	"FeRB"	"Methanogen"	"Methanotroph"	"Methanogen_Troph"	"AOA_NOB"	"AOB_NOB"	"AO_NOB"
"Sandmound_TuleA_D1"	238.57348448118	784.983723131623	207.789809064253	38.479594271158	11920.9783052047	22826.0953216509	9681.46591862335	0	24742.3791163546	49023.0031014553	42519.9516696296	0	1862.41236272405	12929.1436751091	54494.801406814	2732.05119325222	5063.91460608439	1269.82661094821	44428.539545479	0.0285813268664472	0.581900452488687	1.15294117647059	1.73484162895928
"Sandmound_TuleA_D2"	292.275244286809	1429.77889772736	466.06052467356	86.8926401933756	10719.3920674919	20459.2671000767	11367.1372034789	0	21944.3413142907	47522.3748548498	61567.3852424699	0	1919.53741518093	25025.0803756922	83851.3977866075	5031.87380028912	4597.41059932224	2275.00730688111	42545.7963710474	0.0534719643520237	0.356428021555043	0.771875801898897	1.12830382345394
"Sandmound_TuleB_D1"	0	0	0	0	15057.5730735164	3542.95837023914	2657.21877767936	0	12400.354295837	29229.406554473	31000.8857395925	0	13286.0938883968	1771.47918511957	175376.439326838	5314.43755535873	9743.13551815766	0	21257.7502214349	0	0.4	0.942857142857143	1.34285714285714
"Sandmound_TuleB_D2"	465.455448156021	1489.45743409927	248.242905683211	108.606271236405	16694.3354071959	23117.620591749	12427.6604657658	0	27663.5688020728	47926.3959784649	71059.5317518192	0	3072.00595782974	31976.7892883186	114610.646517617	7711.04525778475	7928.25780025755	2311.7620591749	52239.6164647108	0.0442530442530442	0.389301310043667	0.674454148471616	1.06375545851528
"Sandmound_TuleC_D1"	162.56386437529	464.4681839294	58.0585229911751	11.611704598235	8116.58151416628	20378.5415699025	8464.93265211333	0	29075.7083139805	59277.7519739898	41895.0301904319	0	1927.54296330702	10253.1351602415	49419.4147700882	1881.09614491407	4725.96377148165	696.702275894101	36960.0557361821	0.0188501413760603	0.694013303769401	1.41491130820399	2.10892461197339
"Sandmound_TuleC_D2"	505.468247403731	819.471249578777	107.220537328064	53.6102686640321	12315.0445731091	33468.1248659743	13073.2469442146	0	30358.7292834605	54950.5253806329	68299.482277977	0	2381.82765064485	19613.6997212266	82567.4723524186	4939.8033269001	7206.75183040774	1485.7703029746	58856.416383298	0.0252439817826936	0.444494281228975	0.804552590266875	1.24904687149585
"Sandmound_CattailA_D1"	492.156740203738	1749.89063183552	249.984375976501	171.864258483845	18162.9273170427	25967.1270545591	13764.7647022062	0	9686.89456908944	41802.0748703206	42630.1481157427	0	3491.96925192175	32458.9088181989	99845.3221673645	4718.45509655646	10421.2236735204	2663.8960064996	57894.819073808	0.0460126838483336	0.227231079347627	0.980575407733187	1.20780648708081
"Sandmound_CattailA_D2"	477.956085974161	1064.53855512427	79.6593476623602	79.6593476623602	9906.72614564625	27721.4529865014	21935.2876426627	0	8328.02271015584	47846.3009095649	38019.234111581	0	3237.06621864319	22326.3426220961	92643.821331325	4989.57186721511	5300.96749898615	1701.81333642315	59563.4667748103	0.0285714285714285	0.219047619047619	1.25847619047619	1.47752380952381
"Sandmound_ThreeSqA_D1"	509.339523767545	646.469395551115	58.7699450501014	19.5899816833671	3271.52694112231	42500.465262065	9109.34148276572	0	18816.1774068741	65195.4590422457	34615.4976345098	0	1479.04361709422	8893.85168424868	45820.9671573957	1057.85901090182	6895.67355254523	1234.16884605213	54881.333685953	0.0224879528823844	0.543576683644595	1.88341822297679	2.42699490662139
"Sandmound_ThreeSqA_D2"	410.079470573262	905.002969540994	169.688056788936	98.9846997935462	2799.85293701745	25382.505161345	5599.7058740349	14.140671399078	44203.7387935179	50425.6342091122	52433.6095477813	0	593.908198761276	10054.0173647445	45433.9772052377	1032.2690121327	9629.79722277213	1583.75519669674	33796.2046437965	0.0468619246861925	0.843042071197412	0.961704422869472	1.80474649406688
