"OTU"	"Sandmound_TuleA_D1"	"Sandmound_TuleA_D2"	"Sandmound_TuleB_D1"	"Sandmound_TuleB_D2"	"Sandmound_TuleC_D1"	"Sandmound_TuleC_D2"	"Sandmound_CattailA_D1"	"Sandmound_CattailA_D2"	"Sandmound_ThreeSqA_D1"	"Sandmound_ThreeSqA_D2"	"Sandmound_ThreeSqB_D1"	"Sandmound_ThreeSqB_D2"	"Sandmound_ThreeSqC_D1"	"Sandmound_ThreeSqC_D2"	"WestPond_TuleA_D1"	"WestPond_TuleA_D2"	"WestPond_TuleB_D1"	"WestPond_TuleB_D2"	"WestPond_TuleC_D1"	"WestPond_TuleC_D2"	"WestPond_CattailA_D1"	"WestPond_CattailA_D2"	"WestPond_CattailB_D1"	"WestPond_CattailB_D2"	"WestPond_CattailC_D1"	"WestPond_CattailC_D2"	"MayberryNE_TuleA_D1"	"MayberryNE_TuleA_D2"	"MayberryNE_TuleB_D1"	"MayberryNE_TuleB_D2"	"MayberryNE_TuleC_D1"	"MayberryNE_TuleC_D2"	"MayberryNE_CattailA_D1"	"MayberryNE_CattailA_D2"	"MayberryNE_CattailB_D1"	"MayberryNE_CattailB_D2"	"MayberryNE_CattailC_D1"	"MayberryNE_CattailC_D2"	"MayberrySE_TuleA_D1"	"MayberrySE_TuleA_D2"	"MayberrySE_TuleB_D1"	"MayberrySE_TuleB_D2"	"MayberrySE_TuleC_D1"	"MayberrySE_TuleC_D2"	"MayberrySE_CattailA_D1"	"MayberrySE_CattailA_D2"	"MayberrySE_CattailB_D1"	"MayberrySE_CattailB_D2"	"MayberrySE_CattailC_D1"	"MayberrySE_CattailC_D2"	"MayberryNW_TuleA_D1"	"MayberryNW_TuleA_D2"	"MayberryNW_TuleB_D1"	"MayberryNW_TuleB_D2"	"MayberryNW_TuleC_D1"	"MayberryNW_TuleC_D2"	"MayberryNW_CattailA_D1"	"MayberryNW_CattailA_D2"	"MayberryNW_CattailB_D1"	"MayberryNW_CattailB_D2"	"MayberryNW_CattailC_D1"	"MayberryNW_CattailC_D2"	"Browns_TuleA_D2"	"Browns_TuleB_D1"	"Browns_TuleB_D2"	"Browns_TuleC_D1"	"Browns_TuleC_D2"	"Browns_ThreeSqA_D1"	"Browns_ThreeSqA_D2"	"Browns_ThreeSqB_D1"	"Browns_ThreeSqB_D2"	"Browns_ThreeSqC_D1"	"Browns_ThreeSqC_D2"	"RushSE_TuleA_D1"	"RushSE_TuleA_D2"	"RushSE_TuleB_D1"	"RushSE_TuleB_D2"	"RushSE_TuleC_D1"	"RushSE_TuleC_D2"	"RushSE_CattailNLA_D1"	"RushSE_CattailNLA_D2"	"RushSE_CattailNLB_D1"	"RushSE_CattailNLB_D2"	"RushSE_CattailNLC_D1"	"RushSE_CattailNLC_D2"	"RushMan_CattailNLA_D1"	"RushMan_CattailNLA_D2"	"RushMan_CattailNLB_D1"	"RushMan_CattailNLB_D2"	"RushMan_CattailNLC_D1"	"RushMan_CattailNLC_D2"	"RushMan_ThreeSqA_D1"	"RushMan_ThreeSqA_D2"	"RushMan_ThreeSqB_D2"	"RushMan_ThreeSqC_D1"	"RushMan_ThreeSqC_D2"	"RushOxbow_ThreeSqA_D1"	"RushOxbow_ThreeSqA_D2"	"RushOxbow_ThreeSqB_D1"	"RushOxbow_ThreeSqB_D2"	"RushOxbow_ThreeSqC_D1"	"RushOxbow_ThreeSqC_D2"	"Joice_CattailNLA_D1"	"Joice_CattailNLA_D2"	"Joice_CattailNLB_D1"	"Joice_CattailNLB_D2"	"Joice_CattailNLC_D1"	"Joice_CattailNLC_D2"	"Joice_ThreeSqA_D1"	"Joice_ThreeSqA_D2"	"Joice_ThreeSqB_D1"	"Joice_ThreeSqB_D2"	"Joice_ThreeSqC_D1"	"Joice_ThreeSqC_D2"	"Goodyear_PhragA_D1"	"Goodyear_PhragA_D2"	"Goodyear_PhragB_D1"	"Goodyear_PhragB_D2"	"Goodyear_PhragC_D1"	"Goodyear_PhragC_D2"	"White_CordA_D1"	"White_CordA_D2"	"White_CordB_D1"	"White_CordB_D2"	"White_CordC_D1"	"White_CordC_D2"	"White_ThreeSqA_D1"	"White_ThreeSqA_D2"	"White_ThreeSqB_D1"	"White_ThreeSqB_D2"	"White_ThreeSqC_D1"	"White_ThreeSqC_D2"	"Tolay_CordA_D1"	"Tolay_CordA_D2"	"Tolay_CordB_D1"	"Tolay_CordB_D2"	"Tolay_CordC_D1"	"Tolay_CordC_D2"	"China_Bullhead_CordA_D1"	"China_Bullhead_CordA_D2"	"China_Bullhead_CordB_D1"	"China_Bullhead_CordB_D2"	"China_Bullhead_CordC_D1"	"China_Bullhead_CordC_D2"	"China_Galinas_CordA_D1"	"China_Galinas_CordA_D2"	"China_Galinas_CordB_D1"	"China_Galinas_CordB_D2"	"China_Galinas_CordC_D1"	"China_Galinas_CordC_D2"	"China_Galinas_PWA_D1"	"China_Galinas_PWA_D2"	"China_Galinas_PWB_D1"	"China_Galinas_PWB_D2"	"China_Galinas_PWC_D1"	"China_Galinas_PWC_D2"	"Muzzi_CordA_D1"	"Muzzi_CordA_D2"	"Muzzi_CordB_D1"	"Muzzi_CordB_D2"	"Muzzi_CordC_D1"	"Muzzi_CordC_D2"	"Muzzi_PWA_D1"	"Muzzi_PWA_D2"	"Muzzi_PWB_D1"	"Muzzi_PWB_D2"	"Muzzi_PWC_D1"	"Muzzi_PWC_D2"	"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"otu_0"	"otu_0"	53	64	4	62	28	107	84	61	73	34	73	35	12	47	24	339	359	432	381	740	588	892	32	69	431	529	474	3727	387	937	453	756	8282	3630	3944	9593	2475	11267	3185	1232	1777	5454	3249	1788	3964	7356	2310	10743	2886	10120	5273	11776	4774	15972	10107	13553	1899	9208	3998	10401	5036	15050	672	97	249	528	477	251	350	247	217	335	84	88	202	24	222	309	51	35	43	12	51	22	396	102	29	413	141	154	44	243	208	186	245	409	482	342	209	326	125	67	124	5	149	14	16	3	16	14	5	11	18	34	2795	6646	73	8841	3985	14741	266	46	186	264	186	19	103	199	28	803	13	122	182	786	211	1563	205	443	159	941	503	229	371	650	147	93	89	201	131	477	55	109	48	23	19	34	72	611	94	881	117	308	52	74	75	7	111	81	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
"otu_1"	"otu_1"	423	618	19	386	169	521	797	464	188	143	232	227	280	413	3	2	0	3	0	2	1	0	0	1	1	1	2	5	1	2	4	1	1	37	23	54	0	2	3	2	12	5	2	5	0	2	4	89	9	37	0	3	1	0	0	0	1	0	0	0	1	0	1147	241	295	883	1414	797	5747	1058	3485	1237	3754	422	479	673	316	393	592	281	552	142	345	346	601	851	807	572	133	784	1970	989	1116	3749	986	1354	391	1617	1336	969	448	780	1377	4504	2692	3402	1228	1760	1852	2856	1642	2498	2385	7796	1546	1329	675	134	681	619	35	18	35	29	23	50	2390	1431	305	297	189	723	12	9	4	24	10	7	70	41	55	16	67	40	75	10762	195	125	320	146	6250	2110	5586	1405	7963	2693	138	4894	8740	6852	7134	8168	3475	4051	4691	117	6356	4077	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Immundisolibacterales;f__Immundisolibacteraceae;g__"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Immundisolibacterales"	"Immundisolibacteraceae"	"ImmundisolibacteraceaeFA"
"otu_10"	"otu_10"	334	374	3	230	230	466	778	674	89	49	74	40	106	153	3465	2329	2482	3210	3129	2239	2020	3721	2877	3126	3012	2781	1338	789	1115	2479	1230	1634	200	33	143	17	60	28	429	55	81	19	239	21	561	41	41	45	1142	154	2928	1579	2158	741	729	943	4590	1807	1301	550	924	177	708	72	127	203	558	62	762	150	811	163	539	409	516	540	750	470	710	896	734	873	575	798	722	313	597	444	287	367	806	584	344	319	720	429	309	446	397	231	364	453	727	445	738	577	844	599	1211	1220	1312	1242	2419	727	286	76	525	101	452	217	195	398	116	246	119	427	88	312	201	363	250	320	35	57	38	94	49	101	21	69	46	18	33	54	36	27	18	94	42	118	10	1	20	1	21	6	149	150	27	60	44	77	2	2	4	2	1	8	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes vadinHA17;g__"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidetes vadinHA17"	"Bacteroidetes vadinHA17FA"
"otu_100"	"otu_100"	12	0	1	2	5	8	3	4	10	4	39	17	8	2	2	0	3	38	1	5	1	0	0	0	1	1	15	277	24	41	10	68	978	1756	1095	1214	1329	1190	1039	1079	943	1046	470	792	872	322	783	664	457	513	509	1046	272	1200	586	846	311	546	478	714	604	852	258	90	157	138	251	22	101	43	37	8	38	0	1	0	1	2	0	0	0	1	0	0	1	0	0	3	0	1	0	74	55	21	11	30	87	21	1	58	18	76	0	0	0	0	1	1	0	0	1	1	1	2	37	53	3	90	5	63	0	0	0	0	1	1	0	0	0	0	0	1	3	0	0	17	0	2	3	1	0	0	0	0	14	0	0	1	0	0	2	0	5	1	0	0	0	2	1	6	0	0	0	1	7	1	0	3	"k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__"	"Bacteria"	"Gemmatimonadota"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"GemmatimonadaceaeFA"
"otu_1000"	"otu_1000"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	14	0	4	1	355	348	266	144	122	277	550	831	52	121	54	112	12	92	58	51	15	52	1	32	4	7	59	46	2	20	0	25	3	110	1	0	0	3	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	0	4	3	0	0	0	3	0	1	0	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Limibaculum"
"otu_1001"	"otu_1001"	1	12	0	8	0	15	1	2	0	0	0	0	0	1	30	74	27	9	1	30	0	6	1	33	66	46	503	13	16	12	1349	32	6	0	0	0	2	0	166	4	13	4	52	4	274	0	2	1	130	34	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3	19	135	14	2	0	2	0	0	0	22	1	10	4	64	27	184	41	55	52	82	0	0	0	0	0	0	7	18	3	0	0	0	1	1	21	12	102	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Cystobacter"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Myxococcaceae"	"Cystobacter"
"otu_1002"	"otu_1002"	2	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	1	2	2	2	3	4	2	6	6	2	3	0	0	1	0	0	0	1	0	3	1	0	0	0	2	1	0	3	2	2	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	9	24	43	31	19	42	51	23	44	39	37	21	9	8	17	17	25	9	6	14	8	26	37	2	11	13	12	7	16	2	0	4	3	9	2	3	4	5	4	18	7	9	1	7	0	8	3	76	169	83	91	121	244	45	6	43	14	46	28	100	126	68	112	163	108	57	29	54	13	48	23	42	52	35	239	188	347	4	0	27	1	17	0	72	8	55	6	38	3	18	0	58	0	11	3	"k__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__4572-13;g__"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"4572-13"	"4572-13FA"
"otu_1003"	"otu_1003"	1	1	0	3	1	1	2	0	3	0	5	7	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	1	7	3	0	1	0	5	41	0	6	0	0	13	28	1	0	50	14	28	5	6	7	16	2	206	64	28	0	32	50	15	94	17	32	9	58	6	17	13	12	18	26	5	6	16	7	4	3	7	37	16	9	0	0	0	0	1	135	267	81	67	64	29	57	70	134	145	249	3	4	12	1	8	5	18	9	5	4	7	4	0	3	1	1	0	0	5	5	8	5	5	0	409	82	59	73	161	165	32	23	41	22	15	19	16	4	19	0	11	8	4	19	8	0	9	6	4	4	1	0	0	0	4	8	18	44	1	12	27	8	7	0	24	3	"k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup 10"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup 10"
"otu_1004"	"otu_1004"	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	4	0	3	1	2	43	39	27	37	27	32	20	25	47	70	31	25	28	4	27	17	43	45	2	10	4	4	12	6	0	26	4	13	2	39	6	6	5	19	0	10	6	11	3	14	1	37	59	24	57	85	13	20	7	8	16	18	59	17	0	9	3	18	2	101	121	47	79	92	116	213	238	93	156	32	166	1	160	12	33	2	17	6	4	6	13	13	26	4	2	1	7	3	5	2	6	3	4	0	86	27	15	128	8	60	2	3	2	1	0	0	0	0	1	0	1	1	14	22	9	19	25	16	18	15	0	1	5	0	4	110	11	38	6	62	55	3	16	1	24	7	"k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__Planctomicrobium"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Planctomicrobium"
"otu_1005"	"otu_1005"	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	3	1	1	3	1	3	7	3	6	14	4	6	1	6	3	3	7	3	10	6	4	3	15	2	0	0	0	1	0	0	18	9	6	19	18	17	36	55	57	72	29	39	35	16	52	4	54	23	3	22	6	8	6	4	719	252	339	618	384	387	3	47	34	54	17	32	22	101	6	3	29	68	"k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__;g__"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Actinomarinales"	"ActinomarinalesOR"	"ActinomarinalesOR"
