Domain	Phylum	Class	Order	Family	Genus	Phylum_r	Class_r	Order_r	Family_r	Genus_r
Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	AenigmarchaealesOR	AenigmarchaealesOR	-0.05	-0.05	-0.05	-0.05	-0.05
Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Cand. Altiarchaeum	0.33	0.33	0.33	0.33	0.33
Archaea	Asgardarchaeota	Lokiarchaeia	LokiarchaeiaCL	LokiarchaeiaCL	LokiarchaeiaCL	-0.05	-0.05	-0.05	-0.05	-0.05
Archaea	Crenarchaeota	Bathyarchaeia	BathyarchaeiaCL	BathyarchaeiaCL	BathyarchaeiaCL	0.32	0.12	0.12	0.12	0.12
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand. Nitrosopumilus	0.32	0.28	-0.38	-0.38	-0.25
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cand. Nitrosotenuis	0.32	0.28	-0.38	-0.38	-0.23
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	0.32	0.28	-0.38	-0.38	-0.32
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NitrosopumilaceaeFA	0.32	0.28	-0.38	-0.38	-0.22
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrocosmicus	0.32	0.28	0.52	0.52	0.26
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	0.32	0.28	0.52	0.52	0.36
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NitrososphaeraceaeFA	0.32	0.28	0.52	0.52	0.51
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	NitrosotaleaceaeFA	0.32	0.28	-0.17	-0.17	-0.17
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	0.35	0.35	0.35	0.35	0.35
Archaea	Euryarchaeota	Thermococci	Methanofastidiosales	Methanofastidiosaceae	Cand. Methanofastidiosum	0.35	0.25	0.25	0.25	0.25
Archaea	Halobacterota	Halobacteria	Halobacterales	Haloadaptaceae	Haladaptatus	0.53	0.42	0.42	0.41	0.41
Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae	HaloferacaceaeFA	0.53	0.42	0.42	0.34	0.34
Archaea	Halobacterota	Methanocellia	Methanocellales	Methanocellaceae	Rice Cluster I	0.53	0.27	0.27	0.27	0.27
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	0.53	0.34	0.34	0.24	0.24
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	0.53	0.34	0.34	0.25	0.25
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea	0.53	0.34	0.34	0.34	0.24
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	0.53	0.34	0.34	0.34	0.31
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	0.53	0.34	0.34	0.18	0.18
Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanoperedenaceae	Cand. Methanoperedens	0.53	0.54	0.54	0.38	0.38
