 Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Crenarchaeota;c__C2;o__B10;f__B10OR;g__B10OR	Archaea	Crenarchaeota	C2	B10	B10OR	B10OR	Crenarchaeota	0.483766943216324	0	0	-0.279662817716599	-0.279662817716599	-0.279662817716599	0	0	otu_496
k__Archaea;p__Crenarchaeota;c__C2;o__B10;f__B10OR;g__B10OR	Archaea	Crenarchaeota	C2	B10	B10OR	B10OR	Crenarchaeota	0.483766943216324	0	0	-0.279662817716599	-0.279662817716599	-0.279662817716599	0	0	otu_986
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_1836
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_153
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0.392911165952682	otu_1921
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_3362
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_1365
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0.334391176700592	otu_3534
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_4763
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_5487
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.483766943216324	0	0	0	0	0	0	0	otu_6084
k__Archaea;p__Crenarchaeota;c__CrenarchaeotaPH;o__CrenarchaeotaPH;f__CrenarchaeotaPH;g__CrenarchaeotaPH	Archaea	Crenarchaeota	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	Crenarchaeota	0.483766943216324	0	0.526735067367554	0.526735067367554	0.526735067367554	0.526735067367554	0	0	otu_4602
k__Archaea;p__Crenarchaeota;c__CrenarchaeotaPH;o__CrenarchaeotaPH;f__CrenarchaeotaPH;g__CrenarchaeotaPH	Archaea	Crenarchaeota	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	Crenarchaeota	0.483766943216324	0	0.526735067367554	0.526735067367554	0.526735067367554	0.526735067367554	0	0	otu_6322
k__Archaea;p__Crenarchaeota;c__CrenarchaeotaPH;o__CrenarchaeotaPH;f__CrenarchaeotaPH;g__CrenarchaeotaPH	Archaea	Crenarchaeota	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	Crenarchaeota	0.483766943216324	0	0.526735067367554	0.526735067367554	0.526735067367554	0.526735067367554	0	0.541815996170044	otu_4235
k__Archaea;p__Crenarchaeota;c__pMC2A209;o__pMC2A209CL;f__pMC2A209CL;g__pMC2A209CL	Archaea	Crenarchaeota	pMC2A209	pMC2A209CL	pMC2A209CL	pMC2A209CL	Crenarchaeota	0.483766943216324	0	0.275021255016327	0.275021255016327	0.275021255016327	0.275021255016327	0	0	otu_1561
k__Archaea;p__Crenarchaeota;c__pMC2A209;o__pMC2A209CL;f__pMC2A209CL;g__pMC2A209CL	Archaea	Crenarchaeota	pMC2A209	pMC2A209CL	pMC2A209CL	pMC2A209CL	Crenarchaeota	0.483766943216324	0	0.275021255016327	0.275021255016327	0.275021255016327	0.275021255016327	0	0.333248198032379	otu_5167
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__CenarchaeaceaeFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	CenarchaeaceaeFA	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.458932250738144	0	-0.457648754119873	otu_473
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__CenarchaeaceaeFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	CenarchaeaceaeFA	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.458932250738144	0	-0.523358702659607	otu_2992
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__CenarchaeaceaeFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	CenarchaeaceaeFA	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.458932250738144	0	-0.676287055015564	otu_553
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.559296786785126	0	0	otu_123
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.559296786785126	0	-0.513929903507233	otu_1158
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.559296786785126	0	-0.538194537162781	otu_122
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.559296786785126	0	0	otu_3807
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.559296786785126	0	-0.697739839553833	otu_93
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	-0.539292573928833	-0.559296786785126	0	-0.673904240131378	otu_2593
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__SAGMA-XFA	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	SAGMA-XFA	Crenarchaeota	0.483766943216324	0	0	-0.537085652351379	0	0	0	-0.692190110683441	otu_1862
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0.477831035852432	otu_200
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Cand. Nitrososphaera	Crenarchaeota	0.483766943216324	0	0	0.387356132268906	0.387356132268906	0	0	0.603218853473663	otu_556
