Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Crenarchaeota;c__C2;o__B10;f__B10OR;g__B10OR	Archaea	Crenarchaeota	C2	B10	B10OR	B10OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.379481703042984	-0.379481703042984	-0.379481703042984	0.197544306516647	-0.328212022781372	otu_496
k__Archaea;p__Crenarchaeota;c__C2;o__B10;f__B10OR;g__B10OR	Archaea	Crenarchaeota	C2	B10	B10OR	B10OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	-0.379481703042984	-0.379481703042984	-0.379481703042984	0.197544306516647	-0.429581582546234	otu_986
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0	otu_1836
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0.502890288829803	otu_153
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0.578959226608276	otu_1921
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	-0.38943275809288	otu_3362
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0.187240779399872	otu_1365
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0.304657161235809	otu_3534
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0	otu_4763
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	-0.263742834329605	otu_5487
k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR	Archaea	Crenarchaeota	C2	pGrfC26	pGrfC26OR	pGrfC26OR	Crenarchaeota	0.426250219345093	0.197544306516647	0	0.41944944858551	0.41944944858551	0.41944944858551	0.197544306516647	0.224171742796898	otu_6084
k__Archaea;p__Crenarchaeota;c__CrenarchaeotaPH;o__CrenarchaeotaPH;f__CrenarchaeotaPH;g__CrenarchaeotaPH	Archaea	Crenarchaeota	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	Crenarchaeota	0.426250219345093	0.197544306516647	0.35148611664772	0.35148611664772	0.35148611664772	0.35148611664772	0.197544306516647	0	otu_4602
k__Archaea;p__Crenarchaeota;c__CrenarchaeotaPH;o__CrenarchaeotaPH;f__CrenarchaeotaPH;g__CrenarchaeotaPH	Archaea	Crenarchaeota	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	CrenarchaeotaPH	Crenarchaeota	0.426250219345093	0.197544306516647	0.35148611664772	0.35148611664772	0.35148611664772	0.35148611664772	0.197544306516647	-0.279523134231567	otu_6322
