"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"OTU"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"	"OTU_r"
"684"	"k__Archaea;p__;c__;o__;f__;g__"	"Archaea"	""	"PH"	"PH"	"PH"	"PH"	""	"otu_1614"	0.482964558949783	0	-0.672190872455045	-0.672190872455045	-0.672190872455045	-0.672190872455045	0	0
"2938"	"k__Archaea;p__;c__;o__;f__;g__"	"Archaea"	""	"PH"	"PH"	"PH"	"PH"	""	"otu_3660"	0.482964558949783	0	-0.672190872455045	-0.672190872455045	-0.672190872455045	-0.672190872455045	0	0
"3770"	"k__Archaea;p__;c__;o__;f__;g__"	"Archaea"	""	"PH"	"PH"	"PH"	"PH"	""	"otu_4420"	0.482964558949783	0	-0.672190872455045	-0.672190872455045	-0.672190872455045	-0.672190872455045	0	0
"4198"	"k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__;g__"	"Archaea"	"Aenigmarchaeota"	"Aenigmarchaeia"	"Aenigmarchaeales"	"AenigmarchaealesOR"	"AenigmarchaealesOR"	"Aenigmarchaeota"	"otu_4814"	0.482964558949783	0	0	0	0	0	0	0
"1013"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Cand. Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_1912"	0.482964558949783	0.657237585893669	0.657237585893669	0.657237585893669	0.657237585893669	0	0.657237585893669	0.616885104861911
"5439"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Cand. Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_5947"	0.482964558949783	0.657237585893669	0.657237585893669	0.657237585893669	0.657237585893669	0	0.657237585893669	0.618695920415305
"625"	"k__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"Asgardarchaeota"	"otu_1561"	0.482964558949783	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0
"4586"	"k__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"Asgardarchaeota"	"otu_5167"	0.482964558949783	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.333248206187842
"29"	"k__Archaea;p__Crenarchaeota;c__;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"Crenarchaeota"	"otu_1022"	0.482964558949783	0	-0.372804120376375	-0.372804120376375	-0.372804120376375	-0.372804120376375	0	0
"31"	"k__Archaea;p__Crenarchaeota;c__;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"Crenarchaeota"	"otu_1024"	0.482964558949783	0	-0.372804120376375	-0.372804120376375	-0.372804120376375	-0.372804120376375	0	-0.322555468939106
