"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"663"	"k__Archaea;p__;c__;o__;f__;g__"	"Archaea"	""	"PH"	"PH"	"PH"	"PH"	""	0	0	-0.672190872455045	-0.672190872455045	-0.672190872455045	-0.672190872455045	0
"407"	"k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__;g__"	"Archaea"	"Aenigmarchaeota"	"Aenigmarchaeia"	"Aenigmarchaeales"	"AenigmarchaealesOR"	"AenigmarchaealesOR"	"Aenigmarchaeota"	0	0	0	0	0	0	0
"45"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Cand. Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	0	0.657237585893669	0.657237585893669	0.657237585893669	0.657237585893669	0	0.657237585893669
"478"	"k__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"Asgardarchaeota"	0	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516	0.275021263634516
"152"	"k__Archaea;p__Crenarchaeota;c__;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"CrenarchaeotaPH"	"Crenarchaeota"	0	0	-0.372804120376375	-0.372804120376375	-0.372804120376375	-0.372804120376375	0
"1053"	"k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"Bathyarchaeia"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"Crenarchaeota"	0	0	0	0	0	0	0
"590"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"NitrosopumilaceaeFA"	"Crenarchaeota"	0	0	0	-0.538706097074574	-0.538706097074574	-0.661328187617264	0
"68"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	0	0	0	-0.538706097074574	-0.538706097074574	0	0
"70"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosotenuis"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosotenuis"	"Crenarchaeota"	0	0	0	-0.538706097074574	-0.538706097074574	0	0
"586"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	0	0	0	-0.538706097074574	-0.538706097074574	-0.541395588923962	0
