"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"1"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Cand. Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	0.46	0.25	0.25	0.25	0.25	0.25	0.25
"2"	"k__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"Asgardarchaeota"	0.46	0.12	0.12	0.12	0.12	0.12	0.12
"3"	"k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__"	"Archaea"	"Crenarchaeota"	"Bathyarchaeia"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"BathyarchaeiaCL"	"Crenarchaeota"	0.46	0.13	0.16	0.16	0.16	0.16	0.13
"4"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosopumilus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosopumilus"	"Crenarchaeota"	0.46	0.13	0.1	-0.65	-0.65	-0.31	0.13
"5"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Cand. Nitrosotenuis"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Cand. Nitrosotenuis"	"Crenarchaeota"	0.46	0.13	0.1	-0.65	-0.65	-0.55	0.13
"6"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"Nitrosarchaeum"	"Crenarchaeota"	0.46	0.13	0.1	-0.65	-0.65	-0.69	0.13
"7"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	"NitrosopumilaceaeFA"	"Crenarchaeota"	0.46	0.13	0.1	-0.65	-0.65	-0.38	0.13
"8"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Cand. Nitrocosmicus"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"Cand. Nitrocosmicus"	"Crenarchaeota"	0.46	0.13	0.1	0.49	0.49	0.29	0.13
"9"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Cand. Nitrososphaera"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"Cand. Nitrososphaera"	"Crenarchaeota"	0.46	0.13	0.1	0.49	0.49	0.3	0.13
"10"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	"NitrososphaeraceaeFA"	"Crenarchaeota"	0.46	0.13	0.1	0.49	0.49	0.47	0.13
"11"	"k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosotaleales"	"Nitrosotaleaceae"	"NitrosotaleaceaeFA"	"Crenarchaeota"	0.46	0.13	0.1	-0.36	-0.36	-0.36	0.13
"12"	"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"Euryarchaeota"	0.46	0.26	0.25	0.25	0.25	0.25	0.26
"13"	"k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Cand. Methanofastidiosum"	"Archaea"	"Euryarchaeota"	"Thermococci"	"Methanofastidiosales"	"Methanofastidiosaceae"	"Cand. Methanofastidiosum"	"Euryarchaeota"	0.46	0.26	0.19	0.19	0.19	0.19	0.26
"14"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloadaptaceae"	"Haladaptatus"	"Halobacterota"	0.46	0.48	0.39	0.39	0.39	0.39	0.48
"15"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloferacaceae"	"HaloferacaceaeFA"	"Halobacterota"	0.46	0.48	0.39	0.39	0.33	0.33	0.48
"16"	"k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Rice Cluster I"	"Archaea"	"Halobacterota"	"Methanocellia"	"Methanocellales"	"Methanocellaceae"	"Rice Cluster I"	"Halobacterota"	0.46	0.48	0.11	0.11	0.11	0.11	0.48
"17"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Halobacterota"	0.46	0.48	0.25	0.25	0.21	0.21	0.48
"18"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"MethanomicrobialesOR"	"MethanomicrobialesOR"	"Halobacterota"	0.46	0.48	0.25	0.25	0.18	0.18	0.48
"19"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanolinea"	"Halobacterota"	0.46	0.48	0.25	0.25	0.24	0.23	0.48
"20"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"	"Halobacterota"	0.46	0.48	0.25	0.25	0.24	0.21	0.48
